symbol,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
2S,,,,,,,,,yfinance.info/recommendations
A,,,,,,,,,yfinance.info/recommendations
A5,,,,,,,,,yfinance.info/recommendations
AAI,6.15,6.15,6.2,6.1,2.0,,1970-01-01,20403.0,yfinance.info/recommendations
AAV,1.11875,1.01,1.5,0.8,8.0,4.0,1970-01-01,20403.0,yfinance.info/recommendations
ABM,,,,,,,,,yfinance.info/recommendations
ACAP,,,,,,,,,yfinance.info/recommendations
ACC,,,,,,,,,yfinance.info/recommendations
ACE,,,,,,,,,yfinance.info/recommendations
ACG,,,,,,,,,yfinance.info/recommendations
ADB,,,,,,,,,yfinance.info/recommendations
ADD,,,,,,,,,yfinance.info/recommendations
ADVANC,337.0,340.0,370.0,300.0,19.0,1.4,1970-01-01,20403.0,yfinance.info/recommendations
ADVICE,6.775,6.75,7.2,6.4,4.0,,1970-01-01,20403.0,yfinance.info/recommendations
AE,,,,,,,,,yfinance.info/recommendations
AEONTS,133.5,135.5,142.0,120.0,10.0,1.7,1970-01-01,20403.0,yfinance.info/recommendations
AF,,,,,,,,,yfinance.info/recommendations
AFC,,,,,,,,,yfinance.info/recommendations
AGE,,,,,,,,,yfinance.info/recommendations
AH,15.18,15.0,17.4,14.0,5.0,,1970-01-01,20403.0,yfinance.info/recommendations
AHC,,,,,,,,,yfinance.info/recommendations
AI,,,,,,,,,yfinance.info/recommendations
AIE,,,,,,,,,yfinance.info/recommendations
AIMCG,,,,,,,,,yfinance.info/recommendations
AIMIRT,11.4,11.4,11.8,11.0,2.0,,1970-01-01,20403.0,yfinance.info/recommendations
AIRA,,,,,,,,,yfinance.info/recommendations
AIT,,,,,,,,,yfinance.info/recommendations
AJ,,,,,,,,,yfinance.info/recommendations
AJA,,,,,,,,,yfinance.info/recommendations
AKP,,,,,,,,,yfinance.info/recommendations
AKR,,,,,,,,,yfinance.info/recommendations
AKS,,,,,,,,,yfinance.info/recommendations
ALLA,,,,,,,,,yfinance.info/recommendations
ALLY,5.0,5.0,5.0,5.0,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
ALPHAX,,,,,,,,,yfinance.info/recommendations
ALT,,,,,,,,,yfinance.info/recommendations
ALUCON,,,,,,,,,yfinance.info/recommendations
AMA,,,,,,,,,yfinance.info/recommendations
AMANAH,0.78,0.78,0.78,0.78,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
AMARC,4.0,4.0,4.0,4.0,1.0,1.0,1970-01-01,20403.0,yfinance.info/recommendations
AMARIN,,,,,,,,,yfinance.info/recommendations
