symbol,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
A,160.6875,159.5,185.0,140.0,16.0,1.66667,1970-01-01,20591.0,yfinance.info/recommendations
AA,75.25385,76.0,92.0,52.0,13.0,1.92857,1970-01-01,20591.0,yfinance.info/recommendations
AAMI,65.33333,66.0,70.0,60.0,3.0,3.0,1970-01-01,20591.0,yfinance.info/recommendations
AAPL,308.06512,310.0,400.0,215.0,43.0,1.95833,1970-01-01,20591.0,yfinance.info/recommendations
AARD,15.44444,7.0,45.0,3.0,9.0,2.25,1970-01-01,20591.0,yfinance.info/recommendations
AAT,19.0,19.0,20.0,18.0,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
ABAT,6.5,6.5,7.0,6.0,2.0,1.5,1970-01-01,20591.0,yfinance.info/recommendations
ABBV,252.89655,258.0,328.0,184.0,29.0,1.75,1970-01-01,20591.0,yfinance.info/recommendations
ABCB,93.85714,92.0,100.0,89.0,7.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
ABM,51.42857,50.0,68.0,45.0,7.0,,1970-01-01,20591.0,yfinance.info/recommendations
ABNB,156.29167,157.0,181.0,115.0,36.0,2.16667,1970-01-01,20591.0,yfinance.info/recommendations
ABOS,7.4,8.0,10.0,4.0,5.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
ABT,118.64,120.0,143.0,92.0,25.0,1.67857,1970-01-01,20591.0,yfinance.info/recommendations
ACET,34.83333,22.5,100.0,18.0,6.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
ACGL,108.92105,110.0,125.0,93.0,19.0,2.25,1970-01-01,20591.0,yfinance.info/recommendations
ACHC,28.25,30.0,39.0,13.0,14.0,2.14286,1970-01-01,20591.0,yfinance.info/recommendations
ACHR,10.61111,11.0,18.0,4.5,9.0,1.88889,1970-01-01,20591.0,yfinance.info/recommendations
ACI,21.0,21.5,26.0,14.0,16.0,2.10526,1970-01-01,20591.0,yfinance.info/recommendations
ACIU,8.952222,8.454309,11.907855,6.9924107,4.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
ACMR,73.97143,70.0,83.8,68.0,7.0,1.5,1970-01-01,20591.0,yfinance.info/recommendations
ACN,247.54884,248.5,320.0,180.27,26.0,1.82143,1970-01-01,20591.0,yfinance.info/recommendations
