symbol,sector,model,intrinsic_value,last_price,w
24CS,Industrials,eps_dcf,,1.5499999523162842,0.600803723339478
2S,Basic Materials,eps_dcf,0.6765851828131972,2.619999885559082,0.5768668839251622
A,Real Estate,eps_dcf,,4.840000152587891,0.5901935294473374
A5,Real Estate,eps_dcf,17.90404768491137,1.870000004768372,0.5901935294473374
AAI,Consumer Defensive,eps_dcf,16.959638387628566,5.150000095367432,0.4651378551621244
AAV,Industrials,eps_dcf,1.4148069215475971,1.2100000381469729,0.600803723339478
ABM,Utilities,eps_dcf,,0.7699999809265137,0.4519033564412289
ACAP,Unknown,eps_dcf,4.301599457494039,0.3300000131130218,0.7006426620119157
ACC,Industrials,eps_dcf,,0.5099999904632568,0.600803723339478
ACE,Utilities,eps_dcf,2.836659258237872,1.2999999523162842,0.4519033564412289
ACG,Consumer Cyclical,eps_dcf,0.1705365551235429,0.6299999952316284,0.3937274233907813
ADB,Basic Materials,eps_dcf,0.0885582700017274,0.6200000047683716,0.5768668839251622
ADD,Communication Services,eps_dcf,1.4750555351515195,2.759999990463257,0.5968830860786962
ADVANC,Communication Services,eps_dcf,53.74710928125965,308.0,0.5968830860786962
ADVICE,Technology,eps_dcf,8.06098912371295,5.050000190734863,0.5392162741363631
AE,Consumer Cyclical,eps_dcf,,0.1099999994039535,0.3937274233907813
AEONTS,Financial Services,eps_dcf,41.19730720480359,112.0,0.6075623789562842
AF,Financial Services,eps_dcf,0.3606812246849453,0.3600000143051147,0.6075623789562842
AFC,Consumer Cyclical,eps_dcf,,3.880000114440918,0.3937274233907813
AGE,Energy,eps_dcf,,1.0700000524520874,0.5567207650396745
AH,Consumer Cyclical,eps_dcf,99.75585058136517,12.300000190734863,0.3937274233907813
AHC,Healthcare,eps_dcf,4.3216435760842975,14.0,0.5150931379484303
AI,Industrials,eps_dcf,16.878122586515335,3.299999952316284,0.600803723339478
AIE,Consumer Defensive,eps_dcf,1.1346637032951483,1.0700000524520874,0.4651378551621244
AIMCG,Real Estate,eps_dcf,6.930147678492335,1.9800000190734863,0.5901935294473374
AIMIRT,Real Estate,eps_dcf,49.06172386677893,10.300000190734863,0.5901935294473374
AIRA,Financial Services,eps_dcf,,1.2000000476837158,0.6075623789562842
AIT,Technology,eps_dcf,5.362262656767404,4.820000171661377,0.5392162741363631
AJ,Consumer Cyclical,eps_dcf,,2.0799999237060547,0.3937274233907813
AJA,Technology,eps_dcf,,0.1700000017881393,0.5392162741363631
AKP,Industrials,eps_dcf,0.3027885622755335,0.6299999952316284,0.600803723339478
AKR,Industrials,eps_dcf,3.605711308994572,0.9399999976158142,0.600803723339478
AKS,Real Estate,eps_dcf,,0.0299999993294477,0.5901935294473374
ALLA,Industrials,eps_dcf,5.808895956574907,1.159999966621399,0.600803723339478
ALLY,Real Estate,eps_dcf,2.485795215640487,4.420000076293945,0.5901935294473374
ALPHAX,Real Estate,eps_dcf,0.5146622067353166,0.3400000035762787,0.5901935294473374
ALT,Technology,eps_dcf,0.3258944336063568,1.0099999904632568,0.5392162741363631
ALUCON,Basic Materials,eps_dcf,85.64140814004632,186.5,0.5768668839251622
AMA,Industrials,eps_dcf,16.42394258188175,4.159999847412109,0.600803723339478
AMANAH,Financial Services,eps_dcf,,0.8999999761581421,0.6075623789562842
AMARC,Technology,eps_dcf,1.052072247620521,2.880000114440918,0.5392162741363631
AMARIN,Communication Services,eps_dcf,,2.0199999809265137,0.5968830860786962
AMATA,Real Estate,eps_dcf,29.02662468529968,15.100000381469728,0.5901935294473374
AMATAR,Real Estate,eps_dcf,8.481948548304482,6.550000190734863,0.5901935294473374
AMATAV,Real Estate,eps_dcf,,2.380000114440918,0.5901935294473374
AMC,Basic Materials,eps_dcf,10.27153315878767,2.1600000858306885,0.5768668839251622
AMR,Industrials,eps_dcf,,0.5,0.600803723339478
ANAN,Real Estate,eps_dcf,,0.4799999892711639,0.5901935294473374
ANI,Industrials,eps_dcf,14.743951609920892,3.1600000858306885,0.600803723339478
AOT,Industrials,eps_dcf,61.35311768348468,39.75,0.600803723339478
AP,Real Estate,eps_dcf,39.76700099937303,8.699999809265137,0.5901935294473374
APCO,Consumer Defensive,eps_dcf,3.924045307229055,3.0799999237060547,0.4651378551621244
APCS,Industrials,eps_dcf,,1.6200000047683716,0.600803723339478
APO,Consumer Defensive,eps_dcf,2.549725307125194,1.7000000476837158,0.4651378551621244
APP,Technology,eps_dcf,1.0981225480214198,2.299999952316284,0.5392162741363631
APURE,Consumer Defensive,eps_dcf,6.618871602555035,2.9800000190734863,0.4651378551621244
AQUA,Communication Services,eps_dcf,,0.1599999964237213,0.5968830860786962
ARIN,Real Estate,eps_dcf,,0.5899999737739563,0.5901935294473374
ARIP,Industrials,eps_dcf,0.0673042852013128,0.4300000071525574,0.600803723339478
ARROW,Industrials,eps_dcf,1.8774353240366213,5.0,0.600803723339478
AS,Communication Services,eps_dcf,13.9573768357153,3.0,0.5968830860786962
ASAP,Industrials,eps_dcf,0.8509977774713616,1.2100000381469729,0.600803723339478
ASEFA,Industrials,eps_dcf,0.4605030040089825,3.259999990463257,0.600803723339478
ASIA,Consumer Cyclical,eps_dcf,,5.150000095367432,0.3937274233907813
ASIAN,Consumer Defensive,eps_dcf,49.64153701916276,7.300000190734863,0.4651378551621244
ASIMAR,Industrials,eps_dcf,0.6021962360117463,1.4900000095367432,0.600803723339478
ASK,Financial Services,eps_dcf,33.48605441931602,8.050000190734863,0.6075623789562842
ASN,Financial Services,eps_dcf,,1.0099999904632568,0.6075623789562842
ASP,Financial Services,eps_dcf,4.349544195964737,2.220000028610229,0.6075623789562842
ASW,Real Estate,eps_dcf,75.64424688634324,6.199999809265137,0.5901935294473374
ATP30,Industrials,eps_dcf,1.1357071042483264,0.8899999856948853,0.600803723339478
AU,Consumer Cyclical,eps_dcf,9.16862247801468,5.25,0.3937274233907813
AUCT,Consumer Cyclical,eps_dcf,23.638827151982262,5.699999809265137,0.3937274233907813
AURA,Consumer Cyclical,eps_dcf,4.470831111352322,15.199999809265137,0.3937274233907813
AWC,Consumer Cyclical,eps_dcf,2.584811865112008,2.180000066757202,0.3937274233907813
AXTRART,Unknown,eps_dcf,22.25142617993564,12.0,0.7006426620119157
AYUD,Financial Services,eps_dcf,28.18815856817374,34.0,0.6075623789562842
B,Industrials,eps_dcf,0.071880196471413,0.0399999991059303,0.600803723339478
B-WORK,Unknown,eps_dcf,,4.480000019073486,0.7006426620119157
B52,Real Estate,eps_dcf,,0.3000000119209289,0.5901935294473374
BA,Industrials,eps_dcf,78.00812960154147,12.899999618530272,0.600803723339478
BAFS,Industrials,eps_dcf,1.3324677791981112,10.100000381469728,0.600803723339478
BAM,Financial Services,eps_dcf,2.3733616360462944,6.800000190734863,0.6075623789562842
BANPU,Energy,eps_dcf,,4.440000057220459,0.5567207650396745
BAREIT,Real Estate,eps_dcf,8.574891322754125,9.899999618530272,0.5901935294473374
BAY,Financial Services,eps_dcf,52.61128467714602,24.600000381469727,0.6075623789562842
BBGI,Utilities,eps_dcf,3.7774015904616913,2.940000057220459,0.4519033564412289
BBIK,Industrials,eps_dcf,6.970952648751351,20.600000381469727,0.600803723339478
BBL,Financial Services,eps_dcf,221.9014111035465,162.5,0.6075623789562842
BC,Real Estate,eps_dcf,6.505405232225519,0.7799999713897705,0.5901935294473374
BCH,Healthcare,eps_dcf,3.168391951612469,11.399999618530272,0.5150931379484303
BCP,Energy,eps_dcf,,30.25,0.5567207650396745
BCPG,Utilities,eps_dcf,11.346637032951488,8.600000381469727,0.4519033564412289
BCT,Basic Materials,eps_dcf,291.70312705546115,50.75,0.5768668839251622
BDMS,Healthcare,eps_dcf,16.08027367324059,19.700000762939453,0.5150931379484303
BE8,Technology,eps_dcf,18.91106172158581,5.599999904632568,0.5392162741363631
BEAUTY,Consumer Cyclical,eps_dcf,,0.5299999713897705,0.3937274233907813
BEC,Communication Services,eps_dcf,4.293384349706775,1.9700000286102293,0.5968830860786962
BEM,Industrials,eps_dcf,2.9799777347250584,5.099999904632568,0.600803723339478
BEYOND,Consumer Cyclical,eps_dcf,,6.900000095367432,0.3937274233907813
BGC,Consumer Cyclical,eps_dcf,18.438285178546167,4.599999904632568,0.3937274233907813
BGRIM,Utilities,eps_dcf,4.76715518617641,16.200000762939453,0.4519033564412289
BGT,Consumer Cyclical,eps_dcf,,0.4300000071525574,0.3937274233907813
BH,Healthcare,eps_dcf,189.8282683761252,179.0,0.5150931379484303
BIG,Consumer Cyclical,eps_dcf,1.2528578390550598,0.3600000143051147,0.3937274233907813
BIOTEC,Basic Materials,eps_dcf,,0.2000000029802322,0.5768668839251622
BIS,Consumer Defensive,eps_dcf,0.7909085618367991,2.4800000190734863,0.4651378551621244
BIZ,Healthcare,eps_dcf,3.249246630452652,3.839999914169312,0.5150931379484303
BJC,Industrials,eps_dcf,3.550123927829248,19.299999237060547,0.600803723339478
BJCHI,Industrials,eps_dcf,,0.8199999928474426,0.600803723339478
BKA,Unknown,eps_dcf,,1.0499999523162842,0.7006426620119157
BKD,Unknown,eps_dcf,1.8780046973881168,1.0700000524520874,0.7006426620119157
BKGI,Healthcare,eps_dcf,2.633632320914717,1.5800000429153442,0.5150931379484303
BKIH,Financial Services,eps_dcf,637.4227869477711,305.0,0.6075623789562842
BLA,Financial Services,eps_dcf,10.237336012199687,18.600000381469727,0.6075623789562842
BLAND,Real Estate,eps_dcf,0.1293843536485435,0.4900000095367431,0.5901935294473374
BLC,Consumer Defensive,eps_dcf,2.028338552244674,4.159999847412109,0.4651378551621244
BLESS,Real Estate,eps_dcf,0.0949344654418517,0.2599999904632568,0.5901935294473374
BLISS,Unknown,eps_dcf,,0.0309100002050399,0.7006426620119157
BM,Industrials,eps_dcf,0.5419766124105718,1.3200000524520874,0.600803723339478
BOFFICE,Real Estate,eps_dcf,23.525161126354675,5.0,0.5901935294473374
BOL,Industrials,eps_dcf,3.7413081781615256,5.75,0.600803723339478
BPP,Utilities,eps_dcf,4.601487709289756,10.399999618530272,0.4519033564412289
BPS,Technology,eps_dcf,0.3511509761219623,0.4699999988079071,0.5392162741363631
BR,Consumer Defensive,eps_dcf,6.146095059515389,1.690000057220459,0.4651378551621244
BRI,Real Estate,eps_dcf,21.156750301024125,1.9299999475479128,0.5901935294473374
BROCK,Real Estate,eps_dcf,,1.3600000143051147,0.5901935294473374
BRR,Consumer Defensive,eps_dcf,62.87928022427282,4.019999980926514,0.4651378551621244
BSBM,Basic Materials,eps_dcf,,0.6700000166893005,0.5768668839251622
