symbol,model,intrinsic_value,last_price,sector,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
24CS,eps_dcf,,1.5499999523162842,Industrials,,,,,,,,,yfinance.info/recommendations
2S,eps_dcf,0.6765851828131972,2.619999885559082,Basic Materials,,,,,,,,,yfinance.info/recommendations
A,eps_dcf,,4.840000152587891,Real Estate,,,,,,,,,yfinance.info/recommendations
A5,eps_dcf,17.90404768491137,1.870000004768372,Real Estate,,,,,,,,,yfinance.info/recommendations
AAI,eps_dcf,16.959638387628566,5.150000095367432,Consumer Defensive,6.15,6.15,6.2,6.1,2.0,1.0,1970-01-01,20387.0,yfinance.info/recommendations
AAV,eps_dcf,1.4148069215475971,1.2100000381469729,Industrials,1.13375,1.01,1.5,0.8,8.0,4.0,1970-01-01,20387.0,yfinance.info/recommendations
ABM,eps_dcf,,0.7699999809265137,Utilities,,,,,,,,,yfinance.info/recommendations
ACAP,eps_dcf,4.301599457494039,0.3300000131130218,Unknown,,,,,,,,,yfinance.info/recommendations
ACC,eps_dcf,,0.5099999904632568,Industrials,,,,,,,,,yfinance.info/recommendations
ACE,eps_dcf,2.836659258237872,1.2999999523162842,Utilities,,,,,,,,,yfinance.info/recommendations
ACG,eps_dcf,0.1705365551235429,0.6299999952316284,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
ADB,eps_dcf,0.0885582700017274,0.6200000047683716,Basic Materials,,,,,,,,,yfinance.info/recommendations
ADD,eps_dcf,1.4750555351515195,2.759999990463257,Communication Services,,,,,,,,,yfinance.info/recommendations
ADVANC,eps_dcf,53.74710928125965,308.0,Communication Services,332.05264,335.0,360.0,300.0,19.0,1.4,1970-01-01,20387.0,yfinance.info/recommendations
ADVICE,eps_dcf,8.06098912371295,5.050000190734863,Technology,6.775,6.75,7.2,6.4,4.0,1.0,1970-01-01,20387.0,yfinance.info/recommendations
AE,eps_dcf,,0.1099999994039535,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
AEONTS,eps_dcf,41.19730720480359,112.0,Financial Services,133.5,135.5,142.0,120.0,10.0,1.7,1970-01-01,20387.0,yfinance.info/recommendations
AF,eps_dcf,0.3606812246849453,0.3600000143051147,Financial Services,,,,,,,,,yfinance.info/recommendations
AFC,eps_dcf,,3.880000114440918,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
AGE,eps_dcf,,1.0700000524520874,Energy,,,,,,,,,yfinance.info/recommendations
AH,eps_dcf,99.75585058136517,12.300000190734863,Consumer Cyclical,15.18,15.0,17.4,14.0,5.0,2.25,1970-01-01,20387.0,yfinance.info/recommendations
AHC,eps_dcf,4.3216435760842975,14.0,Healthcare,,,,,,,,,yfinance.info/recommendations
AI,eps_dcf,16.878122586515335,3.299999952316284,Industrials,,,,,,,,,yfinance.info/recommendations
AIE,eps_dcf,1.1346637032951483,1.0700000524520874,Consumer Defensive,,,,,,,,,yfinance.info/recommendations
AIMCG,eps_dcf,6.930147678492335,1.9800000190734863,Real Estate,,,,,,,,,yfinance.info/recommendations
AIMIRT,eps_dcf,49.06172386677893,10.300000190734863,Real Estate,11.4,11.4,11.8,11.0,2.0,,1970-01-01,20387.0,yfinance.info/recommendations
AIRA,eps_dcf,,1.2000000476837158,Financial Services,,,,,,,,,yfinance.info/recommendations
AIT,eps_dcf,5.362262656767404,4.820000171661377,Technology,,,,,,,,,yfinance.info/recommendations
AJ,eps_dcf,,2.0799999237060547,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
AJA,eps_dcf,,0.1700000017881393,Technology,,,,,,,,,yfinance.info/recommendations
AKP,eps_dcf,0.3027885622755335,0.6299999952316284,Industrials,,,,,,,,,yfinance.info/recommendations
AKR,eps_dcf,3.605711308994572,0.9399999976158142,Industrials,,,,,,,,,yfinance.info/recommendations
AKS,eps_dcf,,0.0299999993294477,Real Estate,,,,,,,,,yfinance.info/recommendations
ALLA,eps_dcf,5.808895956574907,1.159999966621399,Industrials,,,,,,,,,yfinance.info/recommendations
ALLY,eps_dcf,2.485795215640487,4.420000076293945,Real Estate,5.0,5.0,5.0,5.0,1.0,,1970-01-01,20387.0,yfinance.info/recommendations
ALPHAX,eps_dcf,0.5146622067353166,0.3400000035762787,Real Estate,,,,,,,,,yfinance.info/recommendations
ALT,eps_dcf,0.3258944336063568,1.0099999904632568,Technology,,,,,,,,,yfinance.info/recommendations
ALUCON,eps_dcf,85.64140814004632,186.5,Basic Materials,,,,,,,,,yfinance.info/recommendations
AMA,eps_dcf,16.42394258188175,4.159999847412109,Industrials,,,,,,,,,yfinance.info/recommendations
AMANAH,eps_dcf,,0.8999999761581421,Financial Services,0.78,0.78,0.78,0.78,1.0,,1970-01-01,20387.0,yfinance.info/recommendations
AMARC,eps_dcf,1.052072247620521,2.880000114440918,Technology,4.0,4.0,4.0,4.0,1.0,,1970-01-01,20387.0,yfinance.info/recommendations
AMARIN,eps_dcf,,2.0199999809265137,Communication Services,,,,,,,,,yfinance.info/recommendations
AMATA,eps_dcf,29.02662468529968,15.100000381469728,Real Estate,22.88571,22.65,35.0,15.4,14.0,1.4,1970-01-01,20387.0,yfinance.info/recommendations
AMATAR,eps_dcf,8.481948548304482,6.550000190734863,Real Estate,,,,,,,,,yfinance.info/recommendations
AMATAV,eps_dcf,,2.380000114440918,Real Estate,,,,,,,,,yfinance.info/recommendations
AMC,eps_dcf,10.27153315878767,2.1600000858306885,Basic Materials,,,,,,,,,yfinance.info/recommendations
AMR,eps_dcf,,0.5,Industrials,,,,,,,,,yfinance.info/recommendations
ANAN,eps_dcf,,0.4799999892711639,Real Estate,0.52333,0.5,0.67,0.4,3.0,,1970-01-01,20387.0,yfinance.info/recommendations
ANI,eps_dcf,14.743951609920892,3.1600000858306885,Industrials,,,,,,,,,yfinance.info/recommendations
AOT,eps_dcf,61.35311768348468,39.75,Industrials,38.4119,38.0,57.0,25.0,21.0,2.85714,1970-01-01,20387.0,yfinance.info/recommendations
AP,eps_dcf,39.76700099937303,8.699999809265137,Real Estate,9.46923,9.6,11.8,7.8,13.0,1.38462,1970-01-01,20387.0,yfinance.info/recommendations
APCO,eps_dcf,3.924045307229055,3.0799999237060547,Consumer Defensive,,,,,,,,,yfinance.info/recommendations
APCS,eps_dcf,,1.6200000047683716,Industrials,,,,,,,,,yfinance.info/recommendations
APO,eps_dcf,2.549725307125194,1.7000000476837158,Consumer Defensive,,,,,,,,,yfinance.info/recommendations
APP,eps_dcf,1.0981225480214198,2.299999952316284,Technology,,,,,,,,,yfinance.info/recommendations
APURE,eps_dcf,6.618871602555035,2.9800000190734863,Consumer Defensive,,,,,,,,,yfinance.info/recommendations
AQUA,eps_dcf,,0.1599999964237213,Communication Services,,,,,,,,,yfinance.info/recommendations
ARIN,eps_dcf,,0.5899999737739563,Real Estate,,,,,,,,,yfinance.info/recommendations
ARIP,eps_dcf,0.0673042852013128,0.4300000071525574,Industrials,,,,,,,,,yfinance.info/recommendations
ARROW,eps_dcf,1.8774353240366213,5.0,Industrials,6.4,6.4,6.4,6.4,1.0,,1970-01-01,20387.0,yfinance.info/recommendations
AS,eps_dcf,13.9573768357153,3.0,Communication Services,,,,,,,,,yfinance.info/recommendations
ASAP,eps_dcf,0.8509977774713616,1.2100000381469729,Industrials,,,,,,,,,yfinance.info/recommendations
ASEFA,eps_dcf,0.4605030040089825,3.259999990463257,Industrials,,,,,,,,,yfinance.info/recommendations
ASIA,eps_dcf,,5.150000095367432,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
ASIAN,eps_dcf,49.64153701916276,7.300000190734863,Consumer Defensive,,,,,,,,,yfinance.info/recommendations
ASIMAR,eps_dcf,0.6021962360117463,1.4900000095367432,Industrials,,,,,,,,,yfinance.info/recommendations
ASK,eps_dcf,33.48605441931602,8.050000190734863,Financial Services,7.56667,7.3,9.5,5.9,3.0,4.33333,1970-01-01,20387.0,yfinance.info/recommendations
ASN,eps_dcf,,1.0099999904632568,Financial Services,,,,,,,,,yfinance.info/recommendations
ASP,eps_dcf,4.349544195964737,2.220000028610229,Financial Services,,,,,,,,,yfinance.info/recommendations
ASW,eps_dcf,75.64424688634324,6.199999809265137,Real Estate,7.61667,7.3,8.95,6.6,3.0,,1970-01-01,20387.0,yfinance.info/recommendations
ATP30,eps_dcf,1.1357071042483264,0.8899999856948853,Industrials,1.32,1.32,1.32,1.32,1.0,,1970-01-01,20387.0,yfinance.info/recommendations
AU,eps_dcf,9.16862247801468,5.25,Consumer Cyclical,6.875,6.65,7.8,6.4,4.0,3.75,1970-01-01,20387.0,yfinance.info/recommendations
AUCT,eps_dcf,23.638827151982262,5.699999809265137,Consumer Cyclical,6.0,6.0,6.0,6.0,1.0,,1970-01-01,20387.0,yfinance.info/recommendations
AURA,eps_dcf,4.470831111352322,15.199999809265137,Consumer Cyclical,20.73333,21.0,21.4,19.8,3.0,1.0,1970-01-01,20387.0,yfinance.info/recommendations
AWC,eps_dcf,2.584811865112008,2.180000066757202,Consumer Cyclical,2.99364,2.7,5.0,1.9,11.0,2.09091,1970-01-01,20387.0,yfinance.info/recommendations
AXTRART,eps_dcf,22.25142617993564,12.0,Unknown,14.175,14.175,14.65,13.7,2.0,,1970-01-01,20387.0,yfinance.info/recommendations
AYUD,eps_dcf,28.18815856817374,34.0,Financial Services,,,,,,,,,yfinance.info/recommendations
B,eps_dcf,0.071880196471413,0.0399999991059303,Industrials,,,,,,,,,yfinance.info/recommendations
