sector,model,MAD,n
Basic Materials,eps_dcf,2.6253277299848525,87
Basic Materials,fcf_dcf,3.5791682794323236,87
Communication Services,eps_dcf,2.9302369715439296,39
Communication Services,fcf_dcf,4.3387137237616376,39
Consumer Cyclical,fcf_dcf,4.4345164881495,137
Consumer Cyclical,eps_dcf,6.828393395475015,137
Consumer Defensive,fcf_dcf,4.206097710166124,94
Consumer Defensive,eps_dcf,4.836592889096771,94
Energy,eps_dcf,7.326803477018082,21
Energy,fcf_dcf,9.201837838172983,21
Financial Services,eps_dcf,6.1329815625527,77
Financial Services,fcf_dcf,9.494932872502545,77
Healthcare,eps_dcf,4.5116815297421,50
Healthcare,fcf_dcf,4.792541369236941,50
Industrials,eps_dcf,2.12002216990751,170
Industrials,fcf_dcf,3.1907041420815974,170
Real Estate,eps_dcf,3.2851121479415273,103
Real Estate,fcf_dcf,4.731140361911798,103
Technology,eps_dcf,2.773324524872952,62
Technology,fcf_dcf,3.2453874419036577,62
Unknown,eps_dcf,2.0992429623234217,17
Unknown,fcf_dcf,4.913255801973667,17
Utilities,fcf_dcf,4.743098623935225,38
Utilities,eps_dcf,5.75272654847256,38
