sector,model,MAD,n
Basic Materials,fcf_dcf,25.767336338695053,12
Basic Materials,eps_dcf,63.639220190197165,12
Communication Services,fcf_dcf,310.4119081475267,4
Communication Services,eps_dcf,420.34595331741923,4
Consumer Cyclical,fcf_dcf,151.5076643341612,5
Consumer Cyclical,eps_dcf,160.15500319889972,5
Consumer Defensive,fcf_dcf,68.53105680273698,6
Consumer Defensive,eps_dcf,102.37585865888448,6
Energy,fcf_dcf,10.62870502120397,2
Energy,eps_dcf,199.01560390697526,2
Financial Services,eps_dcf,149.30188424261274,6
Financial Services,fcf_dcf,286.2657867756998,6
Healthcare,fcf_dcf,91.40937096947717,8
Healthcare,eps_dcf,130.70450028384982,8
Industrials,fcf_dcf,91.62948654403547,3
Industrials,eps_dcf,96.77172170830724,3
Technology,fcf_dcf,143.29510656090434,15
Technology,eps_dcf,216.74719943446144,15
