symbol,sector,last_price,eps_ttm,g_base,fcf_ttm,fcf_mode,terminal_method,exit_multiple_used,shares,equity_last,roe_ttm,ebitda_ttm,net_debt,minority_interest,model,coe,wacc,terminal_pe_used,intrinsic,intrinsic_s_bull,intrinsic_s_base,intrinsic_s_bear,upside_pct,flags
2S,Basic Materials,3.0399999618530273,0.517,-0.3,603772000.0,fcfe,,,549995954.0,,,337563000.0,-497218000.0,-30000.0,eps_dcf,0.08,0.08,15.0,1.8313850236357228,2.4047035081232844,1.7304916377297932,1.5607466968659498,-39.75707083498104,
88TH,Consumer Defensive,4.380000114440918,0.29000000000000004,0.0,,fcfe,,,212500000.0,,,,-369434000.0,,eps_dcf,0.1,0.09120000000000002,15.0,3.890152587446813,5.387378468190259,3.800335918435774,2.662376713736482,-11.183733200806804,
A,Real Estate,2.9000000953674316,-1.0718,0.3,-216823804.0,fcfe,,,980000000.0,,,-495858598.0,10662707000.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
A5,Real Estate,1.8300000429153442,0.09,0.3,572707899.0,fcfe,,,1178000045.0,,,125197509.0,1414617915.0,0.0,eps_dcf,0.1,0.08460000000000001,15.0,3.950448481372075,5.353474213993598,3.8760213845303646,2.7707040392756817,115.87149665191687,
AAI,Consumer Defensive,3.619999885559082,0.35,0.3,607663086.0,fcfe,,,2116650000.0,,,963213191.0,-644723000.0,,eps_dcf,0.08,0.08,15.0,16.54717900638758,21.748535156249993,16.42455458780762,11.713696112265044,357.1044068923221,upside>300%
AAV,Industrials,1.1299999952316284,0.122,0.3,8051803000.0,fcfe,,,12850000000.0,,,9814092000.0,40838106000.0,,eps_dcf,0.1,0.08900000000000001,15.0,5.355052385859924,7.256931712302435,5.254162321252273,3.7558432532403683,373.8984432262976,upside>300%
ABM,Utilities,0.5099999904632568,-0.11,-0.3,126866214.0,fcfe,,,692120446.0,,,-46103851.0,603905351.0,289441.0,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
ACAP,Unknown,0.33,0.48899999999999993,0.3,51265316.0,fcfe,,,406411160.0,,,520965606.0,933748000.0,,eps_dcf,0.1,0.09120000000000002,15.0,21.464103415454936,29.08720989603188,21.059716189281648,15.05415861339787,6404.273762259072,upside>300%
ACC,Industrials,0.3499999940395355,-0.040999999999999995,0.0,-84840000.0,fcfe,,,1880333993.0,,,-10079000.0,23258000.0,19257000.0,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
ACE,Utilities,1.2899999618530273,0.08,-0.3,1070436529.0,fcfe,,,9750747760.0,,,2259012193.0,7239381712.0,119970283.0,eps_dcf,0.1,0.08460000000000001,15.0,0.26751216337051215,0.3590084177754146,0.2506197415725452,0.2266931743595107,-79.26262238130279,
ACG,Consumer Cyclical,0.7200000286102295,0.05740000000000001,-0.25653373594335716,87113873.0,fcfe,,,600000000.0,,,122284569.0,92217088.0,2147820.0,eps_dcf,0.08,0.08,15.0,0.24560137740350668,0.3338012624653007,0.2403078320395866,0.17328212843347296,-65.88869893830761,
ADB,Basic Materials,0.7300000190734863,0.057,-0.25653373594335716,95768475.26999998,fcfe,,,725999923.0,,,69050332.27,80706796.0,,eps_dcf,0.1,0.08900000000000001,15.0,0.2297990054453168,0.3194203128149319,0.2226852758935003,0.1615188867311514,-68.52068500806658,
ADD,Communication Services,3.240000009536743,0.22499999999999998,0.0707696976166472,73579013.0,fcfe,,,168000000.0,,,72589982.0,-88040283.0,2548092.0,eps_dcf,0.1,0.09120000000000002,15.0,4.077930937739739,5.620170408499575,3.988218397816574,2.8048290867493955,25.862065609154218,
ADVANC,Communication Services,358.0,14.740000000000002,-0.3,83348424836.0,fcfe,,,2974209736.0,,,124163196138.0,129633172537000.0,105219000.0,eps_dcf,0.08,0.08,15.0,52.21395599301848,68.5596319337277,49.33742116080687,44.49788454894411,-85.41509609133561,
ADVICE,Technology,6.349999904632568,0.516,-0.3,138944000.0,fcfe,,,620000000.0,,,557720000.0,88114000.0,10000.0,eps_dcf,0.1,0.09340000000000001,15.0,1.7254534537398039,2.3156042946514246,1.6164973331429167,1.4621709746188443,-72.82750425742496,
AE,Consumer Cyclical,0.09000000357627869,-0.0534,-0.3,9877959.0,fcfe,,,2571535907.0,,,43275239.0,357964000.0,620251000.0,eps_dcf,0.1,0.08900000000000001,15.0,,,,,,eps<=0_block|no_intrinsic
AEONTS,Financial Services,95.25,8.73,0.0,6065299000.0,fcfe,,,247150000.0,,,,50547112000.0,934319000.0,eps_dcf,0.08,0.08,15.0,125.50282303908719,169.05571536886998,123.97872827526163,86.5222150007811,31.761494004291013,
AF,Financial Services,0.3400000035762787,0.0079,0.0,-13377086.0,fcfe,,,1600000000.0,,,34145596.0,1734753000.0,,eps_dcf,0.08,0.08,15.0,0.11357071042483263,0.152982835213525,0.11219151814141659,0.0782961624863884,-66.59685022639914,
AFC,Consumer Cyclical,3.880000114440918,0.258,0.3,109098958.05,fcfe,,,45574266.0,,,52594042.86,-117580813.43,,eps_dcf,0.1,0.08900000000000001,15.0,11.324618979933284,15.346626080114985,11.111261302320383,7.942684912590288,191.8716145853796,
AGE,Energy,1.2300000190734863,0.29,-0.3,1103824579.0,fcfe,,,1196523435.0,,,865756693.0,3605460000.0,366191000.0,eps_dcf,0.08,0.08,15.0,1.0272759320200378,1.3488665712877224,0.9706819631366344,0.8754671994025636,-16.48163283819728,
