symbol,sector,last_price,eps_ttm,g_base,fcf_ttm,fcf_mode,terminal_method,exit_multiple_used,shares,equity_last,roe_ttm,ebitda_ttm,net_debt,minority_interest,model,coe,wacc,terminal_pe_used,intrinsic,intrinsic_s_bull,intrinsic_s_base,intrinsic_s_bear,upside_pct,flags
A,Healthcare,131.4600067138672,4.9799999999999995,-0.2485169191576574,1087000000.0,fcfe,,,282431944.0,,,1962000000.0,1548000000.0,,eps_dcf,0.1146849998474121,0.10340724987030028,15.0,19.78790051926806,27.537551712907103,19.27185893801873,13.586374069377005,-84.94758899386187,
AA,Basic Materials,43.97999954223633,3.95,0.2575775950523127,287000000.0,fcfe,,,263891991.0,,,1672000000.0,1089000000.0,65000000.0,eps_dcf,0.1350899998474121,0.11119249988555907,15.0,128.4851241934576,174.08763620990288,126.04462303095428,90.2041156645223,192.14444186172972,
AAMI,Financial Services,82.79000091552734,2.3499999999999996,-0.3,-11800000.0,fcfe,,,35628988.0,,,185000000.0,215500000.0,21900000.0,eps_dcf,0.11880999984741211,0.1029479998779297,15.0,7.3902804107741344,9.872954570505154,6.9308334015572,6.285947278693914,-91.07346258117013,
AAPL,Technology,333.739990234375,8.27,-0.3,129174000000.0,fcfe,,,14687356000.0,,,159976000000.0,39139000000.0,,eps_dcf,0.10599499984741212,0.09602074987030029,15.0,27.112847910761168,36.333372382545235,25.409234337882964,23.003164157611707,-91.87605659971385,
AARD,Healthcare,5.860000133514404,-3.21,0.3,,fcfe,,,21884158.0,,,-74677000.0,-62100000.0,,eps_dcf,0.10065999984741211,0.09148599987030029,15.0,,,,,,eps<=0_block|no_intrinsic
AAT,Real Estate,25.510000228881836,0.29000000000000004,0.3,92595000.0,fcfe,,,61390936.0,,,232632000.0,1587875000.0,-63858000.0,eps_dcf,0.09977999984741212,0.08,15.0,12.741150841548576,17.26658224546872,12.501076649882453,8.935942012626803,-50.05428958356756,
ABAT,Industrials,2.359999895095825,-0.56,0.2663441488784857,-35712625.0,fcfe,,,136414409.0,,,-60927599.0,-37464438.0,,eps_dcf,0.10951499984741211,0.09201124988555909,15.0,,,,,,eps<=0_block|no_intrinsic
ABBV,Healthcare,254.49000549316406,2.0300000000000002,0.12154051483915018,19980000000.0,fcfe,,,1766792821.0,,,16921000000.0,63467000000.0,44000000.0,eps_dcf,0.08,0.08,15.0,48.644583168888175,64.87555600429455,48.15724654727744,33.875620198313975,-80.88546421513799,
ABCB,Financial Services,92.30999755859375,6.359999999999999,-0.17351716394082484,504888000.0,fcfe,,,67292503.0,,,,-306524000.0,,eps_dcf,0.09598499984741211,0.0846879998779297,15.0,39.01863509554631,54.5218256604454,38.01240620147787,26.534131212852493,-57.73086759017707,
ABM,Industrials,47.58000183105469,2.6,-0.053919992181677756,334000000.0,fcfe,,,58580923.0,,,428100000.0,1875500000.0,,eps_dcf,0.0838299998474121,0.08,15.0,29.076965051075703,39.762568756187655,28.57221839530263,19.905601313282958,-38.8882641191963,
ABNB,Consumer Cyclical,145.97999572753906,4.0600000000000005,0.21550625000000023,,fcfe,,,593504923.0,,,2592000000.0,-4503000000.0,,eps_dcf,0.10852499984741212,0.09126874988555908,15.0,126.02213914102461,171.69875271217285,123.52348739518399,87.84148080739823,-13.671638012487907,
ABOS,Healthcare,2.25,-1.9300000000000002,-0.3,,fcfe,,,72227580.0,,,-108821000.0,-20635000.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
ABT,Healthcare,100.68000030517578,3.5700000000000003,0.14593628343497644,7378000000.0,fcfe,,,1741813154.0,,,11836000000.0,27244000000.0,640000000.0,eps_dcf,0.08,0.08,15.0,94.32424372893534,125.54096173533551,93.41629158943357,65.83138214104044,-6.312829317615427,
ACET,Healthcare,8.119999885559082,-14.900000000000002,-0.3,-93124000.0,fcfe,,,9348236.0,,,-102731000.0,-22347000.0,,eps_dcf,0.13321999984741212,0.1191619998703003,15.0,,,,,,eps<=0_block|no_intrinsic
