symbol,sector,last_price,eps_ttm,g_base,fcf_ttm,fcf_mode,terminal_method,exit_multiple_used,shares,equity_last,roe_ttm,ebitda_ttm,net_debt,minority_interest,model,coe,wacc,terminal_pe_used,intrinsic,intrinsic_s_bull,intrinsic_s_base,intrinsic_s_bear,upside_pct,flags
2S,Basic Materials,3.0799999237060547,0.517,-0.3,603772000.0,fcff,exit,8.0,549995954.0,,,337563000.0,-497218000.0,-30000.0,fcf_dcf,0.08,0.08,,9.23265957703494,9.693846967589248,9.23265957703494,8.771472186480633,199.76168200438164,
88TH,Consumer Defensive,4.340000152587891,0.29000000000000004,0.0,,fcff,exit,8.0,212500000.0,,,,-369434000.0,,fcf_dcf,0.1,0.09120000000000002,,,,,,,no_intrinsic
A,Real Estate,2.8,-1.0718,0.3,-216823804.0,fcff,exit,8.0,980000000.0,,,-495858598.0,10662707000.0,,fcf_dcf,0.08,0.08,,-14.856896180648889,-15.237097705051145,-14.856896180648889,-14.476694656246634,-630.6034350231746,pe<0
A5,Real Estate,1.8300000429153442,0.09,0.3,572707899.0,fcff,exit,8.0,1178000045.0,,,125197509.0,1414617915.0,0.0,fcf_dcf,0.1,0.08460000000000001,,1.4540724857729483,1.5322538490770559,1.4540724857729486,1.375891122468841,-20.542488979591038,
AAI,Consumer Defensive,3.5999999046325684,0.35,0.3,607663086.0,fcff,exit,8.0,2116650000.0,,,963213191.0,-644723000.0,,fcf_dcf,0.08,0.08,,4.253346757156724,4.595291122722798,4.253346757156723,3.9114023915906504,18.14852416199824,
AAV,Industrials,1.090000033378601,0.122,0.3,8051803000.0,fcff,exit,8.0,12850000000.0,,,9814092000.0,40838106000.0,,fcf_dcf,0.08,0.08,,4.060995630549863,4.634886187283133,4.060995630549862,3.4871050738165947,272.56839506346284,
ABM,Utilities,0.5099999904632568,-0.11,-0.3,126866214.0,fcff,exit,8.0,692120446.0,,,-46103851.0,603905351.0,289441.0,fcf_dcf,0.08,0.08,,-0.4987858083644537,-0.5488396719201865,-0.4987858083644537,-0.4487319448087209,-197.80114072382298,pe<0
ACAP,Unknown,0.33,0.48899999999999993,0.3,51265316.0,fcff,exit,8.0,406411160.0,,,520965606.0,933748000.0,,fcf_dcf,0.1,0.09120000000000002,,5.538269937424544,6.453062235281097,5.538269937424544,4.623477639567989,1578.263617401377,upside>300%
ACC,Industrials,0.33000001311302185,-0.040999999999999995,0.0,-84840000.0,fcff,exit,8.0,1880333993.0,,,-10079000.0,23258000.0,19257000.0,fcf_dcf,0.08,0.08,,-0.24550268049342844,-0.24953044925420823,-0.24550268049342844,-0.24147491173264865,-174.39474870849355,pe<0
ACE,Utilities,1.2899999618530273,0.08,-0.3,1070436529.0,fcff,exit,8.0,9750747760.0,,,2259012193.0,7239381712.0,119970283.0,fcf_dcf,0.08,0.08,,1.1018538127965605,1.275939367030264,1.1018538127965605,0.9277682585628568,-14.58497322637152,
ACG,Consumer Cyclical,0.7300000190734863,0.05740000000000001,-0.25653373594335716,87113873.0,fcff,exit,8.0,600000000.0,,,122284569.0,92217088.0,2147820.0,fcf_dcf,0.08,0.08,,1.681438786206927,1.834583668429242,1.6814387862069273,1.5282939039846124,130.33407428413548,
ADB,Basic Materials,0.699999988079071,0.057,-0.25653373594335716,95768475.26999998,fcff,exit,8.0,725999923.0,,,69050332.27,80706796.0,,fcf_dcf,0.1,0.08900000000000001,,0.9816306733830813,1.0501938069565269,0.9816306733830814,0.9130675398096356,40.23295572859319,
ADD,Communication Services,3.0999999046325684,0.22499999999999998,0.0707696976166472,73579013.0,fcff,exit,8.0,168000000.0,,,72589982.0,-88040283.0,2548092.0,fcf_dcf,0.1,0.09120000000000002,,4.772404383078721,5.080756176884055,4.7724043830787215,4.464052589273387,53.948533222434925,
ADVANC,Communication Services,358.0,14.740000000000002,-0.3,83348424836.0,fcff,exit,8.0,2974209736.0,,,124163196138.0,129633172537000.0,105219000.0,fcf_dcf,0.08,0.08,,-43216.41048534543,-43185.04129035079,-43216.41048534543,-43247.77968034006,-12171.623040599281,
ADVICE,Technology,6.199999809265137,0.516,-0.3,138944000.0,fcff,exit,8.0,620000000.0,,,557720000.0,88114000.0,10000.0,fcf_dcf,0.1,0.09340000000000001,,5.856097542397184,6.491618739044439,5.856097542397184,5.220576345749929,-5.546810926575077,
AE,Consumer Cyclical,0.09000000357627869,-0.0534,-0.3,9877959.0,fcff,exit,8.0,2571535907.0,,,43275239.0,357964000.0,620251000.0,fcf_dcf,0.1,0.08900000000000001,,-0.26750075951995644,-0.2553694315997534,-0.26750075951995644,-0.2796320874401595,-397.2230543227019,pe<0
AEONTS,Financial Services,94.75,8.73,0.0,6065299000.0,fcff,exit,8.0,247150000.0,,,,50547112000.0,934319000.0,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AF,Financial Services,0.3400000035762787,0.0079,0.0,-13377086.0,fcff,exit,8.0,1600000000.0,,,34145596.0,1734753000.0,,fcf_dcf,0.08,0.08,,-0.9912636262039478,-0.975227598557757,-0.9912636262039478,-1.0072996538501386,-391.5481222874631,
