symbol,sector,last_price,eps_ttm,g_base,fcf_ttm,fcf_mode,terminal_method,exit_multiple_used,shares,equity_last,roe_ttm,ebitda_ttm,net_debt,minority_interest,model,coe,wacc,terminal_pe_used,intrinsic,intrinsic_s_bull,intrinsic_s_base,intrinsic_s_bear,upside_pct,flags
A,Healthcare,143.83999633789062,4.26,0.01925799328655242,1088000000.0,fcff,exit,8.0,284064728.0,,,1797000000.0,1874000000.0,,fcf_dcf,0.11157500144958496,0.10076375123214722,,43.30265436389453,47.624418158370354,43.30265436389453,38.980890569418705,-69.89526177255077,
AA,Basic Materials,36.54999923706055,4.33,-0.3,519000000.0,fcff,exit,8.0,258964032.0,,,2141000000.0,1093000000.0,86000000.0,fcf_dcf,0.15161500144958498,0.12358625108718874,,43.7933668582479,48.8907349554489,43.79336685824789,38.695998761046894,19.817695683678174,
AAMI,Financial Services,42.369998931884766,2.37,0.3,-40900000.0,fcff,exit,8.0,35811913.0,,,184500000.0,219600000.0,90900000.0,fcf_dcf,0.11388500144958497,0.09900800115966799,,15.12182166273639,18.669673193124225,15.12182166273639,11.573970132348554,-64.31007306125576,
AAPL,Technology,267.44000244140625,7.470000000000001,-0.20282626659324177,98767000000.0,fcff,exit,8.0,14840390000.0,,,144748000000.0,62723000000.0,,fcf_dcf,0.10222500144958496,0.09281625123214722,,78.23450947240228,85.14378310281931,78.23450947240228,71.32523584198523,-70.74689322531592,
AARD,Healthcare,9.84000015258789,-2.315563,0.3,-45197000.0,fcff,exit,8.0,21773272.0,,,-53445000.0,-38740000.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,-21.054063568954472,-22.833972046318618,-21.054063568954472,-19.274155091590327,-313.9640573421873,pe<0
AAT,Real Estate,18.8700008392334,1.01,0.3,93346000.0,fcff,exit,8.0,77334543.0,,,287698000.0,1567834000.0,-54763000.0,fcf_dcf,0.09606500144958496,0.08,,7.89881889914361,10.694228167201171,7.89881889914361,5.103409631086046,-58.14086620112465,
ABAT,Industrials,3.690000057220459,-0.5800000000000001,-0.3,-32901189.0,fcff,exit,8.0,129969958.0,,,-42138202.0,-29843769.0,,fcf_dcf,0.12015500144958496,0.09999125108718873,,-2.5635160106248365,-2.7857895300787097,-2.5635160106248365,-2.341242491170963,-169.47197753042417,pe<0
ABBV,Healthcare,233.8699951171875,1.3199999999999998,0.3,19684000000.0,fcff,exit,8.0,1767384632.0,,,12795000000.0,63114000000.0,43000000.0,fcf_dcf,0.08,0.08,,54.84966116567337,60.289565937885754,54.84966116567337,49.40975639346098,-76.54694389582156,
ABCB,Financial Services,71.68000030517578,5.78,-0.11389789509723525,394555000.0,fcff,exit,8.0,68586849.0,,,,-572266000.0,,fcf_dcf,0.09694500144958496,0.08545600115966798,,,,,,,no_intrinsic
ABM,Industrials,40.4900016784668,1.8400000000000003,-0.3,58000000.0,fcff,exit,8.0,62258022.0,,,373900000.0,1573100000.0,,fcf_dcf,0.08176500144958496,0.08,,14.771511109581855,19.284271012754424,14.771511109581857,10.258751206409281,-63.518126704752476,
ABNB,Consumer Cyclical,115.41999816894531,4.210000000000001,-0.13740326605113262,,fcff,exit,8.0,612235671.0,,,2752000000.0,-5250000000.0,,fcf_dcf,0.10239000144958496,0.08666750108718871,,,,,,,no_intrinsic
ABOS,Healthcare,1.659999966621399,-2.1,0.3,-123761000.0,fcff,exit,8.0,60573425.0,,,-128994000.0,-15996000.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,-20.548357060433577,-22.092550373744178,-20.548357060433577,-19.00416374712298,-1337.8528598561172,pe<0
ABT,Healthcare,130.0,7.9799999999999995,0.3,6917000000.0,fcff,exit,8.0,1740459014.0,,,11778000000.0,5430000000.0,310000000.0,fcf_dcf,0.08077500144958497,0.08,,54.176569502017195,59.2615563127426,54.1765695020172,49.09158269129179,-58.32571576767908,
ACET,Healthcare,0.6010000109672546,-1.26,-0.09631210937499968,-100362000.0,fcff,exit,8.0,153255581.0,,,-108470000.0,-13563000.0,,fcf_dcf,0.12967000144958496,0.11614450123214722,,-6.03976109298435,-6.490881091362596,-6.03976109298435,-5.588641094606106,-1104.951910610435,pe<0
ACGL,Financial Services,91.79000091552734,10.69,-0.3,6295000000.0,fcff,exit,8.0,373220295.0,,,,1665000000.0,0.0,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
ACHC,Healthcare,15.010000228881836,1.17,0.3,-347219000.0,fcff,exit,8.0,92346593.0,,,455510000.0,2308487000.0,169633000.0,fcf_dcf,0.09001500144958496,0.08243775123214722,,-13.301864188982535,-9.636954769206715,-13.301864188982536,-16.966773608758356,-188.62001323216137,
ACHR,Industrials,7.610000133514404,-1.02,-0.23059375002481186,-486700000.0,fcff,exit,8.0,651341543.0,,,-601600000.0,-506900000.0,,fcf_dcf,0.21024500144958497,0.16755875108718873,,-5.518618766792908,-5.988627785245249,-5.518618766792908,-5.048609748340566,-172.51798515073523,pe<0
ACI,Consumer Defensive,18.139999389648438,1.69,0.19888418683192532,659100000.0,fcff,exit,8.0,559846443.0,,,4160200000.0,14296500000.0,,fcf_dcf,0.08,0.08,,24.108751283382126,29.6925193130067,24.108751283382126,18.524983253757554,32.903815295273645,
ACIU,Healthcare,3.049999952316284,-0.51,0.3,-47703000.0,fcff,exit,8.0,100600000.0,,,-69313000.0,-23080000.0,,fcf_dcf,0.12873500144958497,0.11534975123214722,,-5.124210724376109,-5.564930157443628,-5.124210724376109,-4.683491291308589,-268.0069116225589,pe<0
ACMR,Technology,30.770000457763672,1.72,-0.10609598939176845,-11819000.0,fcff,exit,8.0,64876451.0,,,190587000.0,-761865000.0,452534000.0,fcf_dcf,0.11982500144958497,0.10777625123214722,,19.605893010647954,21.550119234042747,19.605893010647954,17.661666787253157,-36.28244160230056,
ACN,Technology,240.0,12.15,0.13014954401380852,10874360000.0,fcff,exit,8.0,622852697.0,,,11867333000.0,-3295863000.0,1045521000.0,fcf_dcf,0.11064000144958497,0.09996900123214722,,178.1259445178273,191.18965079184474,178.1259445178273,165.06223824380982,-25.780856450905294,
ACNB,Financial Services,46.709999084472656,3.2700000000000005,-0.3,44910000.0,fcff,exit,8.0,10467618.0,,,,207922000.0,,fcf_dcf,0.08875000144958496,0.08,,,,,,,no_intrinsic
ACNT,Basic Materials,14.029999732971191,0.10000000000000003,-0.3,6345000.0,fcff,exit,8.0,9368002.0,,,2193000.0,-36596000.0,,fcf_dcf,0.08,0.08,,8.175926808850225,8.351830008093373,8.175926808850223,8.000023609607076,-41.725395834210936,
ACOG,Healthcare,6.230000019073486,-1.3900000000000001,0.3,,fcff,exit,8.0,21742105.0,,,-18618328.0,-34487436.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,,,,,,no_intrinsic
ACON,Healthcare,6.110000133514404,-1336.49,-0.3,-6682785.0,fcff,exit,8.0,582372.0,,,-7115450.0,-10564249.0,,fcf_dcf,0.11960500144958497,0.10758925123214721,,-91.72030771057962,-99.81329916274991,-91.72030771057962,-83.62731625840931,-1601.1506662246684,pe<0
ACRE,Real Estate,4.900000095367432,-0.15000000000000002,-0.3,,fcff,exit,8.0,55026453.0,,,,725024000.0,,fcf_dcf,0.11366500144958497,0.08770725094223024,,,,,,,no_intrinsic
ACRS,Healthcare,2.490000009536743,-1.38,-0.3,-79762000.0,fcff,exit,8.0,108345239.0,,,-65316000.0,-25256000.0,,fcf_dcf,0.08,0.08,,-6.501863912076065,-6.954857265461783,-6.5018639120760655,-6.048870558690346,-361.11903161340615,pe<0
ACT,Financial Services,37.31999969482422,4.34,0.01465177070043322,,fcff,exit,8.0,147505610.0,,,,200537000.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
ACTG,Industrials,3.450000047683716,0.04999999999999999,-0.3,28178000.0,fcff,exit,8.0,96460378.0,,,68737000.0,-195081000.0,39227000.0,fcf_dcf,0.08,0.08,,7.13384155918443,7.6692974434573795,7.13384155918443,6.598385674911481,106.77801335028956,
ACTU,Healthcare,6.099999904632568,-1.4200000000000002,-0.3,,fcff,exit,8.0,23243328.0,,,-24099724.0,-10024763.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,,,,,,no_intrinsic
ACVA,Consumer Cyclical,6.539999961853027,-0.43000000000000005,-0.1426123451789567,45761000.0,fcff,exit,8.0,181470841.0,,,-20172000.0,-45343000.0,,fcf_dcf,0.13060500144958495,0.1078287510871887,,0.6522995610405438,0.5787500472425493,0.6522995610405438,0.7258490748385382,-90.02600053753329,pe<0
ACXP,Healthcare,4.340000152587891,-8.77,-0.3,,fcff,exit,8.0,2081323.0,,,-9229368.0,-5906802.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,,,,,,no_intrinsic
ADBE,Technology,324.4700012207031,16.049999999999997,-0.09626532101708352,9599000000.0,fcff,exit,8.0,424200000.0,,,9560000000.0,1654000000.0,,fcf_dcf,0.12571000144958497,0.11277850123214722,,200.56248197382752,215.14540066054298,200.56248197382752,185.97956328711211,-38.18766566422707,
ADGM,Healthcare,0.847000002861023,-1.948306,0.03174357149181595,-22861000.0,fcff,exit,8.0,25174072.0,,,-23631000.0,17294000.0,,fcf_dcf,0.08,0.08,,-10.167447863790617,-10.872807675060253,-10.167447863790617,-9.462088052520983,-1300.4070636891022,pe<0
ADI,Technology,230.1300048828125,3.92,-0.2589592008968219,3678400000.0,fcff,exit,8.0,491955436.0,,,4677567000.0,6367412000.0,,fcf_dcf,0.09898000144958496,0.09005800123214722,,72.39070073916503,79.21168545854717,72.39070073916503,65.56971601978289,-68.54356268056917,
ADMA,Healthcare,15.6899995803833,0.8600000000000001,0.3,40608000.0,fcff,exit,8.0,238630719.0,,,172132000.0,21738000.0,,fcf_dcf,0.08,0.08,,4.964207260110098,5.5062297993508675,4.964207260110098,4.422184720869329,-68.36069220602985,
ADP,Technology,249.69000244140625,10.13,-0.028558248983074463,4209500000.0,fcff,exit,8.0,405089516.0,,,6425400000.0,7047300000.0,,fcf_dcf,0.08842000144958496,0.08108200123214722,,121.26370579116522,133.12294528897704,121.26370579116524,109.40446629335341,-51.43429668569862,
ADSK,Technology,292.2300109863281,4.83,0.08409504155249148,1847000000.0,fcff,exit,8.0,213944536.0,,,1602000000.0,731000000.0,,fcf_dcf,0.12246500144958497,0.11002025123214722,,69.56167374205491,74.46744913510163,69.56167374205491,64.65589834900817,-76.19625940974647,
ADT,Industrials,7.96999979019165,0.69,-0.09404935520024527,1386907000.0,fcff,exit,8.0,820080631.0,,,2643806000.0,7743027000.0,,fcf_dcf,0.09304000144958496,0.08,,17.084564285495325,19.507015895835796,17.084564285495325,14.662112675154853,114.36091261282834,
ADVM,Healthcare,4.25,-8.579999999999998,0.2919843127835866,-138445000.0,fcff,exit,8.0,22077467.0,,,-205823000.0,62880000.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,-82.89176323148553,-89.65195394079495,-82.89176323148553,-76.13157252217611,-2050.39442897613,pe<0
AEE,Utilities,104.9000015258789,5.200000000000001,-0.3,-1248000000.0,fcff,exit,8.0,270494916.0,,,3948000000.0,20095000000.0,129000000.0,fcf_dcf,0.08,0.08,,-6.525391031069306,4.441918947780262,-6.525391031069309,-17.492701009918864,-106.22058239861845,
AEHR,Technology,19.739999771118164,-0.22,0.3,-16248000.0,fcff,exit,8.0,30006590.0,,,-5075000.0,-12093000.0,,fcf_dcf,0.17295500144958498,0.15293675123214723,,-2.2332713937698903,-2.324934136032912,-2.2332713937698903,-2.141608651506869,-111.31343171055865,pe<0
AEM,Basic Materials,166.49000549316406,6.8500000000000005,-0.3,3644965000.0,fcff,exit,8.0,502046562.0,,,6842428000.0,-2019215000.0,,fcf_dcf,0.08,0.08,,116.63187753797251,126.87301794015787,116.63187753797251,106.39073713578715,-29.94661920245938,
AENT,Communication Services,6.860000133514404,0.29000000000000004,-0.3,40767000.0,fcff,exit,8.0,110957371.0,,,41652000.0,86907000.0,,fcf_dcf,0.08,0.08,,3.025974882894602,3.308048055314717,3.025974882894602,2.7439017104744874,-55.88957982506068,
AEP,Utilities,123.51000213623047,7.3999999999999995,-0.3,-1735500000.0,fcff,exit,8.0,535265603.0,,,9174800000.0,46822300000.0,1090000000.0,fcf_dcf,0.08,0.08,,-0.17444307449705532,12.705363811122925,-0.17444307449705276,-13.054249960117046,-100.14123801431454,
AES,Utilities,13.720000267028809,1.6,0.3,-2215000000.0,fcff,exit,8.0,712120944.0,,,3505000000.0,29091000000.0,4543000000.0,fcf_dcf,0.09639500144958496,0.08,,-30.787662271848678,-27.08924128550678,-30.787662271848678,-34.48608325819057,-324.39986641863254,
AESI,Energy,9.050000190734863,-0.09,0.3,-18402000.0,fcff,exit,8.0,166240355.0,,,209699000.0,542265000.0,,fcf_dcf,0.10327000144958495,0.08413900101470946,,3.7146049773506817,4.6445042759899335,3.7146049773506817,2.7847056787114295,-58.95464199930526,pe<0
AFBI,Financial Services,18.809999465942383,1.1500000000000001,-0.3,9892000.0,fcff,exit,8.0,6292423.0,,,,-30845000.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AFL,Financial Services,111.76000213623047,7.66,-0.3,,fcff,exit,8.0,534831491.0,,,,1917000000.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AGCO,Industrials,102.0999984741211,5.029999999999999,-0.3,749100000.0,fcff,exit,8.0,74623566.0,,,569300000.0,2082900000.0,301300000.0,fcf_dcf,0.10662500144958498,0.08984375108718873,,53.204658101695365,58.68294600255121,53.204658101695365,47.726370200839504,-47.88965827929865,
AGEN,Healthcare,4.230000019073486,-3.17,-0.3,-89315000.0,fcff,exit,8.0,34008349.0,,,33325000.0,42313000.0,-6731000.0,fcf_dcf,0.12543500144958497,0.11254475123214722,,-6.1642660313357425,-5.529522881985024,-6.1642660313357425,-6.799009180686462,-245.72732868889977,pe<0
AGH,Consumer Cyclical,4.429999828338623,-0.020792,0.3,-1124513.0,fcff,exit,8.0,14608988.0,,,-275691.0,-6929841.0,,fcf_dcf,0.09623000144958496,0.08204750108718872,,0.03847058151069447,0.024423966379729645,0.038470581510694456,0.05251719664165933,-99.13158954850068,pe<0
AGIO,Healthcare,45.4900016784668,11.2,0.11100969086419732,-424094000.0,fcff,exit,8.0,58313812.0,,,-470313000.0,-48195000.0,,fcf_dcf,0.08721000144958496,0.08005350123214722,,-78.37311793341144,-84.43196602869563,-78.37311793341144,-72.31426983812727,-272.28646964528525,
AGM,Financial Services,162.17999267578125,17.560000000000002,-0.09102150277433696,,fcff,exit,8.0,10904723.0,,,,30401378000.0,,fcf_dcf,0.09733000144958497,0.08576400115966798,,,,,,,no_intrinsic
AGO,Financial Services,88.95999908447266,8.056398,0.04711480595138551,,fcff,exit,8.0,47593219.0,,,,1545000000.0,79000000.0,fcf_dcf,0.09150000144958496,0.08110000115966798,,,,,,,no_intrinsic
AHR,Real Estate,49.15999984741211,0.14000000000000004,0.3,188672000.0,fcff,exit,8.0,176908238.0,,,322499000.0,1549144000.0,41753000.0,fcf_dcf,0.09623000144958496,0.08,,6.472636806253993,7.842453317525584,6.472636806253993,5.102820294982401,-86.83352964535305,
AHT,Real Estate,3.930000066757202,-46.97,-0.3,,fcff,exit,8.0,127281482.0,,,212440000.0,2907767000.0,34205000.0,fcf_dcf,0.13242000144958496,0.09989800094223024,,,,,,,no_intrinsic
AI,Technology,13.739999771118164,-2.6,0.3,-85859000.0,fcff,exit,8.0,137849696.0,,,-363754000.0,-76011000.0,,fcf_dcf,0.14826000144958495,0.13194600123214723,,-14.29393578081612,-15.861676634745479,-14.293935780816122,-12.726194926886766,-204.0315576341009,pe<0
AIG,Financial Services,77.06999969482422,5.5,-0.28270378657704265,,fcff,exit,8.0,554003851.0,,,,7654000000.0,32000000.0,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AII,Financial Services,23.170000076293945,4.456039,-0.3,235575000.0,fcff,exit,8.0,19576804.0,,,,-143035000.0,,fcf_dcf,0.09623000144958496,0.08488400115966797,,,,,,,no_intrinsic
AIMD,Technology,2.2300000190734863,-6.140000000000001,-0.3,-4964918.0,fcff,exit,8.0,4771184.0,,,-10141665.0,9776816.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,-18.68804384475752,-20.22938006286868,-18.688043844757523,-17.146707626646357,-938.0288647944484,pe<0
AIN,Consumer Cyclical,42.349998474121094,-1.94,0.3,89298000.0,fcff,exit,8.0,29468056.0,,,60602000.0,372321000.0,5709000.0,fcf_dcf,0.10822000144958496,0.09104000108718871,,11.357839803491812,12.826539353211347,11.357839803491812,9.889140253772277,-73.1810148460046,pe<0
AIRE,Real Estate,0.46000000834465027,-0.26,0.3,-11376078.0,fcff,exit,8.0,128044308.0,,,-13789303.0,-8680174.0,10395.0,fcf_dcf,0.08,0.08,,-0.9551107464765322,-1.0360322826656263,-0.955110746476532,-0.8741892102874381,-307.63276720658774,pe<0
AISP,Technology,3.2100000381469727,0.18000000000000002,0.3,,fcff,exit,8.0,34175563.0,,,-56037242.0,-4788788.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AIT,Industrials,242.61000061035156,10.39,-0.14089694362370053,455016000.0,fcff,exit,8.0,37751071.0,,,598793000.0,153584000.0,,fcf_dcf,0.08809000144958495,0.08,,142.21619328457547,154.13491058803896,142.21619328457547,130.29747598111194,-41.38073742764441,
AIZ,Financial Services,225.9499969482422,16.43,-0.3,1021500000.0,fcff,exit,8.0,50459212.0,,,,493900000.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AJG,Financial Services,258.6400146484375,6.28,0.11409805019229857,1767300000.0,fcff,exit,8.0,256805000.0,,,3590000000.0,12286100000.0,31100000.0,fcf_dcf,0.08,0.08,,65.15428558717632,75.65872921461099,65.15428558717632,54.64984195974162,-74.80889193586738,
AKAM,Technology,87.73999786376953,3.41,-0.3,718305000.0,fcff,exit,8.0,143865237.0,,,1381719000.0,4303139000.0,,fcf_dcf,0.08,0.08,,48.92306982048768,56.13989101885639,48.92306982048768,41.706248622118984,-44.240858204203946,
AKO-B,Consumer Defensive,27.190000534057617,1697.3400000000001,0.24113870429580486,,fcff,exit,8.0,157761767.0,,,475557032000.0,905596901000.0,38135793000.0,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AKRO,Healthcare,54.33000183105469,-3.74,-0.10036873799436208,,fcff,exit,8.0,82316179.0,,,-288187000.0,-174868000.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AL,Industrials,63.689998626708984,8.629999999999999,-0.3,-1985015000.0,fcff,exit,8.0,111765033.0,,,2546135000.0,19742715000.0,,fcf_dcf,0.10739500144958497,0.09042125108718874,,-119.12898317934491,-102.81331737964362,-119.12898317934491,-135.4446489790462,-287.0450396420437,
ALB,Basic Materials,121.38999938964844,-1.5899999999999999,-0.3,104312000.0,fcff,exit,8.0,117697540.0,,,662296000.0,1803280000.0,272945000.0,fcf_dcf,0.12164000144958495,0.1011050010871887,,16.609426504954463,20.447753137317516,16.60942650495446,12.771099872591407,-86.31730242320866,pe<0
ALCO,Consumer Defensive,32.04999923706055,-18.439999999999998,0.3,5450000.0,fcff,exit,8.0,7645360.0,,,-21066000.0,43157000.0,4969000.0,fcf_dcf,0.09859500144958497,0.08677600115966798,,-19.389833701141875,-21.396544561722557,-19.389833701141875,-17.383122840561196,-160.4987025357577,pe<0
ALGM,Technology,23.209999084472656,-0.16,-0.3,56920000.0,fcff,exit,8.0,185119045.0,,,52851000.0,191206000.0,1654000.0,fcf_dcf,0.12978000144958496,0.11623800123214721,,1.5959385060771174,1.7778327470437656,1.5959385060771174,1.4140442651104688,-93.1239182721692,pe<0
ALGN,Healthcare,132.27999877929688,5.16,0.3,566634000.0,fcff,exit,8.0,72486369.0,,,777098000.0,-883318000.0,,fcf_dcf,0.14397000144958497,0.12829950123214723,,93.14044435783063,99.61333580341801,93.14044435783063,86.66755291224325,-29.58841456202974,
ALIT,Technology,2.0299999713897705,-4.09,0.3,243000000.0,fcff,exit,8.0,549490094.0,,,-1800000000.0,1928000000.0,2000000.0,fcf_dcf,0.10244500144958496,0.09300325123214721,,-20.254692716259797,-22.573188056561975,-20.254692716259793,-17.936197375957608,-1097.7681281637215,pe<0
ALL,Financial Services,209.9600067138672,30.89,-0.3,8573000000.0,fcff,exit,8.0,263505335.0,,,,7158000000.0,-16000000.0,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
ALLR,Healthcare,1.1399999856948853,-11.45,-0.3,,fcff,exit,8.0,14524080.0,,,-24249000.0,-16426000.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,,,,,,no_intrinsic
ALRM,Technology,48.849998474121094,2.3600000000000003,-0.01965542048507052,153040000.0,fcff,exit,8.0,49905033.0,,,223772000.0,674000.0,56084000.0,fcf_dcf,0.09034500144958496,0.08271825123214721,,38.34624947931803,41.673495901699376,38.34624947931803,35.01900305693668,-21.502045696823423,
ALSN,Consumer Cyclical,79.69999694824219,8.16,0.2059891875325428,628000000.0,fcff,exit,8.0,83616722.0,,,1078000000.0,1496000000.0,,fcf_dcf,0.09595500144958496,0.08184125108718873,,90.53361705593987,100.13886976284458,90.53361705593987,80.92836434903519,13.592999400907283,
ALTO,Basic Materials,2.0399999618530273,-0.69,-0.3,-10012000.0,fcff,exit,8.0,77397703.0,,,-13757000.0,87177000.0,,fcf_dcf,0.08,0.08,,-2.7414852278204536,-2.875045638789623,-2.7414852278204536,-2.607924816851284,-234.38653328847292,pe<0
ALTS,Technology,1.909999966621399,-0.6599999999999999,0.3,,fcff,exit,8.0,124946728.0,,,-3091000.0,13170000.0,3200000.0,fcf_dcf,0.12923000144958496,0.11577050123214722,,,,,,,no_intrinsic
ALUR,Healthcare,1.4199999570846558,-10.56,-0.3,,fcff,exit,8.0,7762681.0,,,-20970000.0,17803000.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AM,Energy,17.860000610351562,0.98,-0.14289485686314463,757875000.0,fcff,exit,8.0,478411000.0,,,1040128000.0,3008694000.0,,fcf_dcf,0.08512000144958497,0.08,,13.474959358365606,15.108642066644366,13.474959358365608,11.84127665008685,-24.552301803642774,
AMAL,Financial Services,27.020000457763672,3.3200000000000003,-0.004730920152754892,123375000.0,fcff,exit,8.0,30109079.0,,,,-25266000.0,0.0,fcf_dcf,0.08743000144958496,0.08,,,,,,,no_intrinsic
AMAT,Technology,225.1199951171875,8.68,-0.22809744237277552,5823000000.0,fcff,exit,8.0,796642427.0,,,9594000000.0,1379000000.0,,fcf_dcf,0.13330000144958495,0.1192300012321472,,86.73698582834105,94.30776233670437,86.73698582834106,79.16620931997771,-61.47077660374431,
AMBQ,Technology,23.059999465942383,-2.527612,-0.3,-21493000.0,fcff,exit,8.0,18313186.0,,,-30769000.0,-145719000.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,-6.648535167769599,-7.866861871964603,-6.648535167769598,-5.430208463574595,-128.83146280028717,pe<0
AMCX,Communication Services,8.130000114440918,-3.75,-0.3,269507000.0,fcff,exit,8.0,43526769.0,,,1068607000.0,1278523000.0,90789000.0,fcf_dcf,0.10063000144958496,0.08840400115966798,,136.10094880200862,153.8474112605351,136.10094880200862,118.35448634348214,1574.058387284143,upside>300%|pe<0
AMD,Technology,230.2899932861328,2.02,-0.3,5448000000.0,fcff,exit,8.0,1628041540.0,,,6108000000.0,-938000000.0,,fcf_dcf,0.14644500144958497,0.13040325123214722,,30.95276687111449,33.19699714007995,30.952766871114488,28.708536602149024,-86.55922194905969,
AMG,Financial Services,250.4600067138672,16.79,-0.3,924000000.0,fcff,exit,8.0,28412064.0,,,1186500000.0,1895500000.0,1196600000.0,fcf_dcf,0.10910000144958495,0.09518000115966797,,257.3153543113748,286.5796646609118,257.3153543113748,228.05104396183773,2.7371026965352403,
AMGN,Healthcare,343.989990234375,12.940000000000001,-0.2839843032722773,11539000000.0,fcff,exit,8.0,538480671.0,,,16525000000.0,45142000000.0,,fcf_dcf,0.08,0.08,,191.20091416680714,214.26060237182824,191.20091416680714,168.141225961786,-44.41672153409643,
AMIX,Healthcare,0.949999988079071,-6.18,-0.3,-11248000.0,fcff,exit,8.0,6194147.0,,,-16500000.0,-6345000.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,-21.946481182887084,-23.878079082368245,-21.946481182887087,-20.01488328340592,-2410.155942976751,pe<0
AMOD,Technology,0.8700000047683716,-0.27805399999999997,0.3,,fcff,exit,8.0,41959958.0,,,-2700424.0,4315937.0,,fcf_dcf,0.09623000144958496,0.08772050123214721,,,,,,,no_intrinsic
AMP,Financial Services,442.80999755859375,36.47,-0.3,5861000000.0,fcff,exit,8.0,94271566.0,,,,-3877000000.0,,fcf_dcf,0.11069500144958497,0.09645600115966799,,,,,,,no_intrinsic
AMPL,Technology,9.869999885559082,-0.8,0.021446958603698274,13821000.0,fcff,exit,8.0,133686174.0,,,-103349000.0,-78432000.0,,fcf_dcf,0.12472000144958495,0.1119370012321472,,-3.028398239337875,-3.5305323588087876,-3.028398239337875,-2.526264119866962,-130.682859923522,pe<0
AMRK,Financial Services,25.6200008392334,0.24000000000000005,0.3,463248000.0,fcff,exit,8.0,24644387.0,,,85396000.0,585340000.0,53123000.0,fcf_dcf,0.08,0.08,,74.35821448084333,76.96197831160617,74.35821448084333,71.75445065008049,190.23501969201448,
AMRX,Healthcare,11.569999694824219,0.01999999999999999,0.3,236503000.0,fcff,exit,8.0,314362920.0,,,555646000.0,2484475000.0,-497000.0,fcf_dcf,0.11713000144958496,0.10548550123214721,,4.527944696652646,5.709903886589146,4.527944696652646,3.345985506716146,-60.86478119201507,
AMT,Real Estate,181.5500030517578,6.26,-0.3,3690900000.0,fcff,exit,8.0,468146623.0,,,6747800000.0,43060500000.0,6813200000.0,fcf_dcf,0.09166500144958496,0.08,,13.429535776454482,24.260381965464735,13.429535776454482,2.5986895874442317,-92.6028446429572,
