symbol,sector,last_price,intrinsic_value,margin_%,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,source
2S,Basic Materials,3.119999885559082,9.23265957703494,195.9185870412464,,,,,,,,yfinance.info/recommendations
88TH,Consumer Defensive,4.019999980926514,,,,,,,,,,yfinance.info/recommendations
A,Real Estate,2.720000028610229,,,,,,,,,,yfinance.info/recommendations
A5,Real Estate,1.809999942779541,1.4925151314900844,-17.54059786332968,,,,,,,,yfinance.info/recommendations
AAI,Consumer Defensive,4.019999980926514,4.253346757156724,5.80464620242185,3.7,3.7,3.7,3.7,1.0,,1970-01-01,yfinance.info/recommendations
AAV,Industrials,1.059999942779541,4.060995630549863,283.11281601592214,1.144,1.19,1.5,0.65,10.0,2.7,1970-01-01,yfinance.info/recommendations
ABM,Utilities,0.4900000095367431,-0.4987858083644537,-201.79302013402344,,,,,,,,yfinance.info/recommendations
ACC,Industrials,0.3400000035762787,-0.2455026804934284,-172.20666997385783,,,,,,,,yfinance.info/recommendations
ACE,Utilities,1.3899999856948853,1.1018538127965605,-20.729940709623495,,,,,,,,yfinance.info/recommendations
ACG,Consumer Cyclical,0.7300000190734863,1.681438786206927,130.33407428413548,,,,,,,,yfinance.info/recommendations
ADB,Basic Materials,0.800000011920929,1.018023555667912,27.25294256227239,,,,,,,,yfinance.info/recommendations
ADD,Communication Services,3.359999895095825,4.957095765008352,47.53261666000672,,,,,,,,yfinance.info/recommendations
ADVANC,Communication Services,375.0,-43216.41048534543,-11624.376129425447,401.57895,402.0,450.0,355.0,19.0,1.85,1970-01-01,yfinance.info/recommendations
ADVICE,Technology,7.050000190734863,6.212398647268887,-11.88087263553206,7.75,7.55,8.5,7.2,6.0,1.0,1970-01-01,yfinance.info/recommendations
AE,Consumer Cyclical,0.1000000014901161,-0.2630059692813672,-363.005965362273,,,,,,,,yfinance.info/recommendations
AEONTS,Financial Services,105.5,,,115.8,121.5,136.0,70.0,10.0,1.9,1970-01-01,yfinance.info/recommendations
AF,Financial Services,0.3600000143051147,-0.9912636262039478,-375.3509963374089,,,,,,,,yfinance.info/recommendations
AFC,Consumer Cyclical,5.0,19.63347300183178,292.6694600366356,,,,,,,,yfinance.info/recommendations
AGE,Energy,1.2899999618530271,1.0272759320200378,-20.36620446527751,,,,,,,,yfinance.info/recommendations
AH,Consumer Cyclical,15.100000381469728,29.84538214617765,97.65153239865487,14.8,14.8,15.0,14.6,3.0,,1970-01-01,yfinance.info/recommendations
AHC,Healthcare,13.699999809265137,14.72807024613649,7.504163877258464,,,,,,,,yfinance.info/recommendations
AI,Industrials,2.9600000381469727,1.9687102032834032,-33.48952101649767,,,,,,,,yfinance.info/recommendations
AIE,Consumer Defensive,1.2000000476837158,1.3563000887713812,13.025002906405,,,,,,,,yfinance.info/recommendations
AIMCG,Real Estate,1.7000000476837158,,,,,,,,,,yfinance.info/recommendations
AIMIRT,Real Estate,12.300000190734863,,,12.2,12.2,12.2,12.2,1.0,,1970-01-01,yfinance.info/recommendations
AIRA,Financial Services,1.0,0.180633850358594,-81.9366149641406,,,,,,,,yfinance.info/recommendations
AIT,Technology,4.880000114440918,8.111760669248438,66.22459997990738,,,,,,,,yfinance.info/recommendations
AJ,Consumer Cyclical,3.140000104904175,-11.748339608388694,-474.15093044231685,,,,,,,,yfinance.info/recommendations
AJA,Technology,0.1299999952316284,-0.0826460478197657,-163.57388527015752,,,,,,,,yfinance.info/recommendations
AKP,Industrials,0.699999988079071,2.9256530534699907,317.9504433276523,,,,,,,,yfinance.info/recommendations
AKR,Industrials,0.8999999761581421,1.5540880338462448,72.67645277950216,,,,,,,,yfinance.info/recommendations
AKS,Real Estate,0.0099999997764825,,,,,,,,,,yfinance.info/recommendations
ALLA,Industrials,1.1699999570846558,2.2368916697277053,91.18732921165861,,,,,,,,yfinance.info/recommendations
ALLY,Real Estate,5.150000095367432,,,5.0,5.0,5.0,5.0,1.0,,1970-01-01,yfinance.info/recommendations
ALPHAX,Real Estate,0.2399999946355819,0.6579447606457375,174.1436563966456,,,,,,,,yfinance.info/recommendations
ALT,Technology,1.6699999570846558,2.031463479559852,21.644522860120812,,,,,,,,yfinance.info/recommendations
ALUCON,Basic Materials,253.0,266.685427815049,5.409260005948231,,,,,,,,yfinance.info/recommendations
AMA,Industrials,3.819999933242798,11.399859377933383,198.4256433809946,,,,,,,,yfinance.info/recommendations
AMANAH,Financial Services,0.7400000095367432,-1.599550890759358,-316.15552299258934,0.64,0.64,0.64,0.64,1.0,,1970-01-01,yfinance.info/recommendations
AMARC,Technology,2.9800000190734863,4.777756064389465,60.327383684880665,3.7,3.7,3.7,3.7,1.0,4.0,1970-01-01,yfinance.info/recommendations
AMARIN,Communication Services,2.059999942779541,3.11569453530006,51.2473117400226,,,,,,,,yfinance.info/recommendations
AMATA,Real Estate,29.0,8.154581686418332,-71.88075280545402,30.75357,32.5,38.75,19.0,14.0,1.86667,1970-01-01,yfinance.info/recommendations
AMATAR,Real Estate,7.5,,,,,,,,,,yfinance.info/recommendations
AMATAV,Real Estate,2.119999885559082,-0.162558155954494,-107.66783795894519,,,,,,,,yfinance.info/recommendations
AMC,Basic Materials,2.220000028610229,0.0692168582604407,-96.88212354196355,,,,,,,,yfinance.info/recommendations
AMR,Industrials,0.4000000059604645,-2.2712604421635456,-667.815102079782,,,,,,,,yfinance.info/recommendations
ANAN,Real Estate,0.3499999940395355,1.7182268936949667,390.9219779874848,,,,,,,,yfinance.info/recommendations
ANI,Industrials,2.940000057220459,4.783771987968952,62.71332975726659,,,,,,,,yfinance.info/recommendations
AOT,Industrials,61.25,21.44150366281025,-64.99346340765673,64.02273,65.0,80.0,46.0,22.0,2.04762,1970-01-01,yfinance.info/recommendations
AP,Real Estate,7.900000095367432,3.776883316751861,-52.19135099800025,9.78846,10.0,10.6,8.5,13.0,1.30769,1970-01-01,yfinance.info/recommendations
APCO,Consumer Defensive,2.700000047683716,1.5494315752180003,-42.61364637577575,,,,,,,,yfinance.info/recommendations
APCS,Industrials,1.2799999713897705,-2.5997847022029066,-303.10818439942375,,,,,,,,yfinance.info/recommendations
APO,Consumer Defensive,2.140000104904175,5.357636633826023,150.3568397752919,,,,,,,,yfinance.info/recommendations
APP,Technology,2.700000047683716,6.507086883733383,141.0032136597813,,,,,,,,yfinance.info/recommendations
APURE,Consumer Defensive,2.0799999237060547,-0.8565578141429526,-141.18066565198592,,,,,,,,yfinance.info/recommendations
AQUA,Consumer Cyclical,0.1099999994039535,-0.9517041499500672,-965.1855955517962,,,,,,,,yfinance.info/recommendations
ARIN,Real Estate,0.5,-0.832691923997972,-266.5383847995944,,,,,,,,yfinance.info/recommendations
ARIP,Industrials,0.4699999988079071,0.7609169236542572,61.89721820940903,,,,,,,,yfinance.info/recommendations
ARROW,Industrials,5.75,6.027744445631201,4.830338184890445,,,,,,,,yfinance.info/recommendations
AS,Communication Services,2.4200000762939453,4.894947134340895,102.27053636449266,,,,,,,,yfinance.info/recommendations
ASAP,Industrials,2.1600000858306885,15.36944183784364,611.5482049591164,,,,,,,,yfinance.info/recommendations
ASEFA,Industrials,6.099999904632568,6.257228377806426,2.5775159939666907,,,,,,,,yfinance.info/recommendations
ASIA,Consumer Cyclical,5.449999809265137,4.549507403868958,-16.522797007539687,,,,,,,,yfinance.info/recommendations
ASIAN,Consumer Defensive,7.5,13.097291334633304,74.63055112844405,,,,,,,,yfinance.info/recommendations
ASIMAR,Industrials,1.4299999475479126,4.610981289807945,222.44625586977182,,,,,,,,yfinance.info/recommendations
ASK,Financial Services,11.800000190734863,8.788696467975104,-25.519522661738414,13.25,13.0,14.0,12.75,3.0,,1970-01-01,yfinance.info/recommendations
ASN,Financial Services,1.0,1.354582135270742,35.45821352707419,,,,,,,,yfinance.info/recommendations
ASP,Financial Services,2.400000095367432,6.581737618259444,174.23905653019577,,,,,,,,yfinance.info/recommendations
ASTR,Financial Services,4.760000228881836,0.0004216853571574,-99.99114106435125,,,,,,,,yfinance.info/recommendations
ASW,Real Estate,7.449999809265137,-17.87796301267346,-339.97266403201337,8.31667,8.45,9.0,7.5,3.0,,1970-01-01,yfinance.info/recommendations
ATLAS,Energy,1.8799999952316284,1.2072887340352176,-35.78251398418372,,,,,,,,yfinance.info/recommendations
ATP30,Industrials,0.800000011920929,2.050442321265848,156.30528633898462,1.38,1.38,1.38,1.38,1.0,1.0,1970-01-01,yfinance.info/recommendations
AU,Consumer Cyclical,4.71999979019165,4.790335254556563,1.490158209563329,5.7,6.2,6.6,4.3,3.0,,1970-01-01,yfinance.info/recommendations
AUCT,Consumer Cyclical,4.460000038146973,4.529919436029227,1.5676994906776875,6.6,6.6,6.6,6.6,1.0,,,yfinance.info/recommendations
AURA,Consumer Cyclical,14.300000190734863,-6.461028921991265,-145.18201983086294,19.36667,19.8,20.8,17.5,3.0,,1970-01-01,yfinance.info/recommendations
AWC,Consumer Cyclical,2.6600000858306885,-0.3213147862342538,-112.07950285211778,2.42667,2.385,3.0,1.9,12.0,2.33333,1970-01-01,yfinance.info/recommendations
AXTRART,Real Estate,13.199999809265137,,,14.2,14.2,14.7,13.7,2.0,,1970-01-01,yfinance.info/recommendations
AYUD,Financial Services,42.5,,,,,,,,,,yfinance.info/recommendations
B,Industrials,0.0399999991059303,-0.6616041792168592,-1754.0104850121643,,,,,,,,yfinance.info/recommendations
B-WORK,Unknown,6.550000190734863,,,,,,,,,,yfinance.info/recommendations
B52,Real Estate,0.25,,,,,,,,,,yfinance.info/recommendations
BA,Industrials,17.5,26.17880520859461,49.593172620540635,20.01111,21.1,24.3,11.7,9.0,1.55556,1970-01-01,yfinance.info/recommendations
BAFS,Industrials,10.600000381469728,0.8657896977330095,-91.83217295683754,14.0,14.0,14.0,14.0,1.0,,1970-01-01,yfinance.info/recommendations
BAM,Financial Services,6.800000190734863,-6.915506399783681,-201.6986206736611,7.3,7.1,8.9,5.7,8.0,3.0,1970-01-01,yfinance.info/recommendations
BAREIT,Real Estate,11.399999618530272,,,,,,,,,,yfinance.info/recommendations
BAY,Financial Services,40.5,,,43.83333,48.0,50.0,33.5,3.0,1.33333,1970-01-01,yfinance.info/recommendations
BBGI,Basic Materials,5.25,5.751756466829312,9.557266034844046,5.8,5.8,5.8,5.8,1.0,,1970-01-01,yfinance.info/recommendations
BBIK,Industrials,22.0,20.08530289345812,-8.703168666099453,26.38,25.5,28.6,24.3,5.0,,1970-01-01,yfinance.info/recommendations
BBL,Financial Services,187.0,,,186.05,189.5,225.0,120.0,20.0,2.63158,1970-01-01,yfinance.info/recommendations
BC,Real Estate,0.5600000023841858,-7.579025068415225,-1453.397327883521,,,,,,,,yfinance.info/recommendations
BCH,Healthcare,10.100000381469728,8.53039963259324,-15.540600887067338,11.22143,11.15,14.0,8.0,14.0,2.06667,1970-01-01,yfinance.info/recommendations
BCP,Energy,45.0,6.900498861255652,-84.66555808609854,45.09091,43.0,61.0,38.0,11.0,1.45455,1970-01-01,yfinance.info/recommendations
BCPG,Utilities,7.400000095367432,3.5134966230070845,-52.520316517203646,8.75,8.7,11.0,6.85,7.0,1.71429,1970-01-01,yfinance.info/recommendations
BCT,Basic Materials,50.0,24.261156436621587,-51.47768712675682,,,,,,,,yfinance.info/recommendations
BDMS,Healthcare,19.200000762939453,12.779518177516374,-33.4400121369585,24.94773,24.85,29.8,20.0,22.0,1.3913,1970-01-01,yfinance.info/recommendations
BE8,Technology,6.449999809265137,0.9699964752668554,-84.961294512389,5.68333,6.0,,,3.0,,1970-01-01,yfinance.info/recommendations
