symbol,sector,last_price,intrinsic_value,margin_%,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,source
2S,Basic Materials,2.700000047683716,2.4913139507161812,-7.729114566000206,,,,,,,,yfinance.info/recommendations
A,Real Estate,4.84,0.0,-100.0,,,,,,,,yfinance.info/recommendations
A5,Real Estate,1.850000023841858,3.7793886518195996,104.29127584393318,,,,,,,,yfinance.info/recommendations
AAI,Consumer Defensive,3.380000114440918,9.002061292923049,166.3331653292583,4.95,4.95,6.2,3.7,2.0,,1970-01-01,yfinance.info/recommendations
AAV,Industrials,1.1100000143051147,8.418604121632693,658.4327939763975,1.20778,1.25,1.7,0.73,9.0,3.11111,1970-01-01,yfinance.info/recommendations
ABM,Utilities,0.5099999904632568,-0.8610736617212531,-268.83797604370534,,,,,,,,yfinance.info/recommendations
ACAP,Unknown,0.33,15.992413336557268,4746.185859562809,,,,,,,,yfinance.info/recommendations
ACC,Industrials,0.3799999952316284,-0.07805379745501048,-120.54047327222541,,,,,,,,yfinance.info/recommendations
ACE,Utilities,1.2799999713897705,0.7955703287553746,-37.84606667673769,,,,,,,,yfinance.info/recommendations
ACG,Consumer Cyclical,0.7099999785423279,1.881037475664517,164.93486373427766,,,,,,,,yfinance.info/recommendations
ADB,Basic Materials,0.6200000047683716,1.252468165909462,102.01099294787537,,,,,,,,yfinance.info/recommendations
ADD,Communication Services,3.200000047683716,2.9948717754996124,-6.410258410232938,,,,,,,,yfinance.info/recommendations
ADVANC,Communication Services,349.0,230.5307888278312,-33.94533271408848,388.3158,390.0,450.0,340.0,19.0,2.05,1970-01-01,yfinance.info/recommendations
ADVICE,Technology,5.400000095367432,5.04602789503621,-6.55504063110829,6.78,6.8,7.2,6.4,5.0,1.0,1970-01-01,yfinance.info/recommendations
AE,Consumer Cyclical,0.0700000002980232,-0.1032882402773075,-247.55462833937213,,,,,,,,yfinance.info/recommendations
AEONTS,Financial Services,93.75,151.51927419603734,61.62055914243984,107.8,105.0,136.0,70.0,10.0,2.4,1970-01-01,yfinance.info/recommendations
AF,Financial Services,0.3600000143051147,-1.3486708476778784,-474.63077613514344,,,,,,,,yfinance.info/recommendations
AFC,Consumer Cyclical,3.0199999809265137,11.212315571973418,271.2687298936195,,,,,,,,yfinance.info/recommendations
AGE,Energy,1.2100000381469729,4.048178837399819,234.56022394836538,,,,,,,,yfinance.info/recommendations
AH,Consumer Cyclical,13.0,62.406471200055236,380.0497784619634,14.875,14.85,15.7,14.1,4.0,2.25,1970-01-01,yfinance.info/recommendations
AHC,Healthcare,13.899999618530272,27.194090903015102,95.64094711745389,,,,,,,,yfinance.info/recommendations
AI,Industrials,2.880000114440918,6.221731217792933,116.03232536679018,,,,,,,,yfinance.info/recommendations
AIE,Consumer Defensive,1.1299999952316284,0.8605404202530996,-23.845980187220682,,,,,,,,yfinance.info/recommendations
AIMCG,Real Estate,1.350000023841858,0.6464711744784042,-52.113247180643505,,,,,,,,yfinance.info/recommendations
AIMIRT,Real Estate,11.300000190734863,2.9313068504057296,-74.05923185019788,12.2,12.2,12.2,12.2,1.0,,1970-01-01,yfinance.info/recommendations
AIRA,Financial Services,1.0700000524520874,-0.1737191070634329,-116.23542977080479,,,,,,,,yfinance.info/recommendations
AIT,Technology,4.679999828338623,7.418779167742107,58.52092820216485,,,,,,,,yfinance.info/recommendations
