sector,model,MAD,n,_fallback_by_n
Basic Materials,fcf_dcf,1.5849819799980287,88,False
Communication Services,fcf_dcf,2.107693616293525,39,False
Consumer Cyclical,fcf_dcf,2.66660937481684,137,False
Consumer Defensive,fcf_dcf,2.297543858742465,98,False
Energy,fcf_dcf,4.641625758425313,20,False
Financial Services,fcf_dcf,1.768590378215542,80,False
Healthcare,fcf_dcf,1.7022578949782783,50,False
Industrials,fcf_dcf,1.3728214660352516,167,False
Real Estate,fcf_dcf,2.472447073590473,107,False
Technology,fcf_dcf,2.229783790853242,62,False
Unknown,eps_dcf,1.6987436349146714,14,False
Utilities,fcf_dcf,1.9677429688616637,37,False
