sector,model,MAD,n,_fallback_by_n
Basic Materials,fcf_dcf,32.32145583540724,70,False
Communication Services,fcf_dcf,14.072102397734216,84,False
Consumer Cyclical,fcf_dcf,31.582935756463023,196,False
Consumer Defensive,fcf_dcf,21.62368765224663,103,False
Energy,fcf_dcf,18.077566824260664,70,False
Financial Services,eps_dcf,29.529040108187278,296,False
Healthcare,fcf_dcf,29.034330269435483,350,False
Industrials,fcf_dcf,43.47269969822211,258,False
Real Estate,eps_dcf,27.421673362953957,108,False
Technology,fcf_dcf,30.879611811886434,275,False
Unknown,fcf_dcf,38.90274556579578,1,False
Utilities,eps_dcf,44.274178684605175,51,False
