sector,model,w,n,MAD
Basic Materials,fcf_dcf,0.6460611226858579,88,1.6291644695182432
Basic Materials,eps_dcf,0.35393887731414214,88,2.973789809404848
Communication Services,fcf_dcf,0.5313734717719415,40,1.9014106221932858
Communication Services,eps_dcf,0.46862652822805856,40,2.1560007869421045
Consumer Cyclical,fcf_dcf,0.6491332499945229,137,2.813805968839008
Consumer Cyclical,eps_dcf,0.35086675000547707,137,5.205779725996284
Consumer Defensive,fcf_dcf,0.726724257729228,98,2.3711650560359345
Consumer Defensive,eps_dcf,0.273275742270772,98,6.305657250936129
Energy,fcf_dcf,0.5995892025809771,20,3.9916261398950397
Energy,eps_dcf,0.4004107974190229,20,5.9772012888944275
Financial Services,fcf_dcf,0.7384370274517509,79,1.5861729467111254
Financial Services,eps_dcf,0.2615629725482491,79,4.478037639882537
Healthcare,fcf_dcf,0.7693221213901064,50,1.7899026213195202
Healthcare,eps_dcf,0.23067787860989358,50,5.969413671358563
Industrials,fcf_dcf,0.6428180030019159,167,1.3627514197778219
Industrials,eps_dcf,0.3571819969980841,167,2.452534433139249
Real Estate,fcf_dcf,0.6978431470259294,107,2.5585785426621994
Real Estate,eps_dcf,0.3021568529740706,107,5.909137869771605
Technology,fcf_dcf,0.5888071860646708,61,2.2875865310084578
Technology,eps_dcf,0.4111928139353293,61,3.2757075093048402
Unknown,eps_dcf,0.6685637469861666,14,1.6987436349146714
Unknown,fcf_dcf,0.33143625301383334,14,3.4266571617836235
Utilities,fcf_dcf,0.5979034029815335,37,1.9516064813148752
Utilities,eps_dcf,0.40209659701846645,37,2.901969738881422
