sector,model,w,n,MAD
Basic Materials,fcf_dcf,0.7050249286275537,71,20.27029222904614
Basic Materials,eps_dcf,0.29497507137244633,71,48.44836977565655
Communication Services,fcf_dcf,0.6477204966952365,91,12.796029993073509
Communication Services,eps_dcf,0.35227950330476354,91,23.527485492012396
Consumer Cyclical,fcf_dcf,0.7134838622502265,210,24.937875134672623
Consumer Cyclical,eps_dcf,0.2865161377497735,210,62.100416428781585
Consumer Defensive,fcf_dcf,0.6723835768977104,103,19.93204946773389
Consumer Defensive,eps_dcf,0.32761642310228956,103,40.90754239196786
Energy,fcf_dcf,0.7512333897930451,72,11.03991274314633
Energy,eps_dcf,0.24876661020695487,72,33.33868265783787
Financial Services,eps_dcf,0.6170664433633054,302,28.242128098092433
Financial Services,fcf_dcf,0.38293355663669465,302,45.50990435990674
Healthcare,fcf_dcf,0.7429791280234459,362,25.50670386241406
Healthcare,eps_dcf,0.2570208719765541,362,73.73311143642589
Industrials,fcf_dcf,0.6667606058155678,264,26.878490416297048
Industrials,eps_dcf,0.33323939418443216,264,53.779711722177026
Real Estate,eps_dcf,0.5575085935305126,112,23.329258385223792
Real Estate,fcf_dcf,0.44249140646948726,112,29.39325338393418
Technology,fcf_dcf,0.6375001571230953,282,28.79611494734176
Technology,eps_dcf,0.36249984287690473,282,50.6414779605127
Unknown,eps_dcf,0.6495228642445169,4,14.621792383074688
Unknown,fcf_dcf,0.350477135755483,4,27.09788314398994
Utilities,eps_dcf,0.623763269676824,50,41.76299707493398
Utilities,fcf_dcf,0.3762367303231759,50,69.23891663856327
