symbol,sector,last_price
2S,Basic Materials,3.0799999237060547
88TH,Consumer Defensive,4.300000190734863
A,Real Estate,2.7200000286102295
A5,Real Estate,1.840000033378601
AAI,Consumer Defensive,3.9600000381469727
AAV,Industrials,1.090000033378601
ABM,Utilities,0.5
ACC,Industrials,0.33000001311302185
ACE,Utilities,1.2899999618530273
ACG,Consumer Cyclical,0.75
ADB,Basic Materials,0.6800000071525574
ADD,Communication Services,3.359999895095825
ADVANC,Communication Services,373.0
ADVICE,Technology,6.599999904632568
AE,Consumer Cyclical,0.10000000149011612
AEONTS,Financial Services,110.0
AF,Financial Services,0.3799999952316284
AFC,Consumer Cyclical,4.619999885559082
AGE,Energy,1.2300000190734863
AH,Consumer Cyclical,13.899999618530273
AHC,Healthcare,13.100000381469727
AI,Industrials,2.880000114440918
AIE,Consumer Defensive,1.1299999952316284
AIMCG,Real Estate,1.7300000190734863
AIMIRT,Real Estate,12.0
AIRA,Financial Services,1.0199999809265137
AIT,Technology,4.820000171661377
AJ,Consumer Cyclical,3.0799999237060547
AJA,Technology,0.12999999523162842
AKP,Industrials,0.699999988079071
AKR,Industrials,0.9100000262260437
AKS,Real Estate,0.009999999776482582
ALLA,Industrials,1.1699999570846558
ALLY,Real Estate,5.050000190734863
ALPHAX,Real Estate,0.25
ALT,Technology,1.8899999856948853
ALUCON,Basic Materials,240.0
AMA,Industrials,3.880000114440918
AMANAH,Financial Services,0.7599999904632568
AMARC,Technology,3.700000047683716
AMARIN,Communication Services,2.2200000286102295
AMATA,Real Estate,28.5
AMATAR,Real Estate,7.449999809265137
AMATAV,Real Estate,2.140000104904175
AMC,Basic Materials,2.059999942779541
AMR,Industrials,0.4000000059604645
ANAN,Real Estate,0.33000001311302185
ANI,Industrials,2.819999933242798
AOT,Industrials,63.5
AP,Real Estate,7.699999809265137
APCO,Consumer Defensive,2.5999999046325684
APCS,Industrials,1.399999976158142
APO,Consumer Defensive,2.0399999618530273
APP,Technology,2.619999885559082
APURE,Consumer Defensive,2.0199999809265137
AQUA,Consumer Cyclical,0.10000000149011612
ARIN,Real Estate,0.5
ARIP,Industrials,0.4699999988079071
ARROW,Industrials,5.699999809265137
AS,Communication Services,2.319999933242798
ASAP,Industrials,2.0
ASEFA,Industrials,5.550000190734863
ASIA,Consumer Cyclical,5.400000095367432
ASIAN,Consumer Defensive,7.25
ASIMAR,Industrials,1.399999976158142
ASK,Financial Services,11.899999618530273
ASN,Financial Services,0.9700000286102295
ASP,Financial Services,2.319999933242798
ASTR,Financial Services,4.880000114440918
ASW,Real Estate,7.400000095367432
ATLAS,Energy,1.8200000524520874
ATP30,Industrials,0.8199999928474426
AU,Consumer Cyclical,4.71999979019165
AUCT,Consumer Cyclical,4.420000076293945
AURA,Consumer Cyclical,14.100000381469727
AWC,Consumer Cyclical,2.5799999237060547
AXTRART,Real Estate,13.100000381469727
AYUD,Financial Services,40.0
B,Industrials,0.03999999910593033
B-WORK,Unknown,6.400000095367432
B52,Real Estate,0.25999999046325684
BA,Industrials,19.0
BAFS,Industrials,10.800000190734863
BAM,Financial Services,6.849999904632568
BANPU,Energy,5.75
BAREIT,Real Estate,11.399999618530273
BAY,Financial Services,46.75
BBGI,Basic Materials,4.380000114440918
BBIK,Industrials,21.200000762939453
BBL,Financial Services,196.5
BC,Real Estate,0.6299999952316284
BCH,Healthcare,9.899999618530273
BCP,Energy,37.25
BCPG,Utilities,7.300000190734863
BCT,Basic Materials,50.0
BDMS,Healthcare,19.600000381469727
BE8,Technology,6.050000190734863
BEAUTY,Consumer Cyclical,0.36000001430511475
BEC,Communication Services,2.119999885559082
BEM,Industrials,6.0
BEYOND,Consumer Cyclical,8.850000381469727
BGC,Consumer Cyclical,7.0
BGRIM,Utilities,19.600000381469727
BGT,Consumer Cyclical,0.3799999952316284
BH,Healthcare,186.5
BIG,Consumer Cyclical,0.3100000023841858
BIOTEC,Basic Materials,0.23999999463558197
BIS,Consumer Defensive,2.059999942779541
BIZ,Healthcare,6.0
BJC,Industrials,14.699999809265137
