symbol,period,eps
24CS,2025Q4,
24CS,2025Q3,
24CS,2025Q2,0.01
24CS,2025Q1,0.06
24CS,2024Q4,-0.44
24CS,2024Q3,-0.45
2S,2025Q4,
2S,2025Q3,
2S,2025Q2,0.14
2S,2025Q1,0.12
2S,2024Q4,0.01
2S,2024Q3,-0.13
3BBIF,2025Q4,
3BBIF,2025Q3,
3BBIF,2025Q2,
3BBIF,2025Q1,
3BBIF,2024Q4,
3BBIF,2024Q3,
3K-BAT,2025Q4,
3K-BAT,2025Q3,
3K-BAT,2025Q2,-1.09
3K-BAT,2025Q1,1.19
3K-BAT,2024Q4,2.28
3K-BAT,2024Q3,-0.3
A,2025Q4,
A,2025Q3,
A,2025Q2,-0.21
A,2025Q1,-0.21
A,2024Q4,-0.22
A,2024Q3,-0.13
A5,2025Q4,
A5,2025Q3,
A5,2025Q2,0.06
A5,2025Q1,0.03
A5,2024Q4,-0.03
A5,2024Q3,0.15
AAI,2025Q4,
AAI,2025Q3,
AAI,2025Q2,0.09
AAI,2025Q1,0.12
AAI,2024Q4,0.08
AAI,2024Q3,0.14
AAV,2025Q4,
AAV,2025Q3,
AAV,2025Q2,0.02
AAV,2025Q1,0.11
AAV,2024Q4,0.03
AAV,2024Q3,0.27
ABM,2025Q4,
ABM,2025Q3,
ABM,2025Q2,-0.04
ABM,2025Q1,-0.02
ABM,2024Q4,0.0
ABM,2024Q3,-0.08
ACAP,2025Q4,
ACAP,2025Q3,
ACAP,2025Q2,-0.08
ACAP,2025Q1,-0.07
ACAP,2024Q4,0.88
ACAP,2024Q3,0.12
ACC,2025Q4,
ACC,2025Q3,
ACC,2025Q2,-0.01
ACC,2025Q1,-0.01
ACC,2024Q4,-0.02
ACC,2024Q3,-0.01
ACE,2025Q4,
ACE,2025Q3,
ACE,2025Q2,0.01
ACE,2025Q1,0.02
ACE,2024Q4,0.02
ACE,2024Q3,0.01
ACG,2025Q4,
ACG,2025Q3,
ACG,2025Q2,0.01
ACG,2025Q1,0.02
ACG,2024Q4,0.01
ACG,2024Q3,0.01
ADB,2025Q4,
ADB,2025Q3,
ADB,2025Q2,0.01
ADB,2025Q1,0.01
ADB,2024Q4,0.05
ADB,2024Q3,0.01
ADD,2025Q4,
ADD,2025Q3,
ADD,2025Q2,0.05
ADD,2025Q1,0.05
ADD,2024Q4,-0.03
ADD,2024Q3,0.06
ADVANC,2025Q4,
ADVANC,2025Q3,
ADVANC,2025Q2,3.69
ADVANC,2025Q1,3.56
ADVANC,2024Q4,3.11
ADVANC,2024Q3,2.95
ADVICE,2025Q4,
ADVICE,2025Q3,
ADVICE,2025Q2,0.12
ADVICE,2025Q1,0.1
ADVICE,2024Q4,0.08
ADVICE,2024Q3,0.1
AE,2025Q4,
AE,2025Q3,
AE,2025Q2,-0.01
AE,2025Q1,-0.01
AE,2024Q4,-0.01
AE,2024Q3,-0.01
AEONTS,2025Q4,2.9
AEONTS,2025Q3,3.15
AEONTS,2025Q2,3.29
AEONTS,2025Q1,2.1
AEONTS,2024Q4,4.38
AEONTS,2024Q3,2.82
AF,2025Q4,
AF,2025Q3,
AF,2025Q2,0.0
AF,2025Q1,0.0
AF,2024Q4,0.0
AF,2024Q3,0.0
AFC,2025Q4,0.34
AFC,2025Q3,-0.09
AFC,2025Q2,-0.3
AFC,2025Q1,-0.2
AFC,2024Q4,0.49
AFC,2024Q3,0.08
AGE,2025Q4,
AGE,2025Q3,
AGE,2025Q2,0.09
AGE,2025Q1,0.04
AGE,2024Q4,0.04
AGE,2024Q3,-0.01
AH,2025Q4,
AH,2025Q3,
AH,2025Q2,0.32
AH,2025Q1,0.91
AH,2024Q4,0.37
AH,2024Q3,0.59
AHC,2025Q4,
AHC,2025Q3,
AHC,2025Q2,0.33
AHC,2025Q1,0.31
AHC,2024Q4,0.08
AHC,2024Q3,0.42
AI,2025Q4,
AI,2025Q3,
AI,2025Q2,-0.02
AI,2025Q1,0.08
AI,2024Q4,0.18
AI,2024Q3,0.16
AIE,2025Q4,
AIE,2025Q3,
AIE,2025Q2,-0.03
AIE,2025Q1,0.01
