symbol,period,eps
AAPL,2025Q4,
AAPL,2025Q3,
AAPL,2025Q2,1.57
AAPL,2025Q1,1.65
AAPL,2024Q4,2.4
AAPL,2024Q3,0.97
MSFT,2025Q4,
MSFT,2025Q3,
MSFT,2025Q2,3.65
MSFT,2025Q1,3.46
MSFT,2024Q4,3.23
MSFT,2024Q3,3.3
NVDA,2025Q4,
NVDA,2025Q3,1.08
NVDA,2025Q2,0.76
NVDA,2025Q1,0.89
NVDA,2024Q4,0.78
NVDA,2024Q3,0.67
GOOGL,2025Q4,
GOOGL,2025Q3,
GOOGL,2025Q2,2.31
GOOGL,2025Q1,2.81
GOOGL,2024Q4,2.15
GOOGL,2024Q3,2.12
AMZN,2025Q4,
AMZN,2025Q3,
AMZN,2025Q2,1.68
AMZN,2025Q1,1.59
AMZN,2024Q4,1.86
AMZN,2024Q3,1.43
META,2025Q4,
META,2025Q3,
META,2025Q2,7.14
META,2025Q1,6.43
META,2024Q4,8.02
META,2024Q3,6.03
BRK-B,2025Q4,
BRK-B,2025Q3,
BRK-B,2025Q2,5.734003
BRK-B,2025Q1,2.133334
BRK-B,2024Q4,
BRK-B,2024Q3,12.181339
LLY,2025Q4,
LLY,2025Q3,
LLY,2025Q2,6.29
LLY,2025Q1,3.06
LLY,2024Q4,4.88
LLY,2024Q3,1.07
AVGO,2025Q4,
AVGO,2025Q3,0.85
AVGO,2025Q2,1.03
AVGO,2025Q1,1.14
AVGO,2024Q4,0.9
AVGO,2024Q3,-0.4
TSLA,2025Q4,
TSLA,2025Q3,
TSLA,2025Q2,0.33
TSLA,2025Q1,0.12
TSLA,2024Q4,0.66
TSLA,2024Q3,0.62
JNJ,2025Q4,
JNJ,2025Q3,
JNJ,2025Q2,2.29
JNJ,2025Q1,4.54
JNJ,2024Q4,1.41
JNJ,2024Q3,1.11
UNH,2025Q4,
UNH,2025Q3,
UNH,2025Q2,3.74
UNH,2025Q1,6.85
UNH,2024Q4,5.98
UNH,2024Q3,6.51
XOM,2025Q4,
XOM,2025Q3,
XOM,2025Q2,1.64
XOM,2025Q1,1.76
XOM,2024Q4,1.72
XOM,2024Q3,1.92
PG,2025Q4,
PG,2025Q3,
PG,2025Q2,1.48
PG,2025Q1,1.54
PG,2024Q4,1.88
PG,2024Q3,1.61
JPM,2025Q4,
JPM,2025Q3,
JPM,2025Q2,5.24
JPM,2025Q1,5.07
JPM,2024Q4,4.81
JPM,2024Q3,4.37
V,2025Q4,
V,2025Q3,
V,2025Q2,2.69
V,2025Q1,2.32
V,2024Q4,2.58
V,2024Q3,2.65
MA,2025Q4,
MA,2025Q3,
MA,2025Q2,
MA,2025Q1,3.59
MA,2024Q4,3.64
MA,2024Q3,3.53
COST,2025Q4,
COST,2025Q3,5.87
COST,2025Q2,4.28
COST,2025Q1,4.02
COST,2024Q4,4.04
COST,2024Q3,5.29
HD,2025Q4,
HD,2025Q3,4.58
HD,2025Q2,3.45
HD,2025Q1,3.02
HD,2024Q4,3.67
HD,2024Q3,4.6
ORCL,2025Q4,
ORCL,2025Q3,1.01
ORCL,2025Q2,
ORCL,2025Q1,1.02
ORCL,2024Q4,1.1
ORCL,2024Q3,1.03
MRK,2025Q4,
MRK,2025Q3,
MRK,2025Q2,1.76
MRK,2025Q1,2.01
MRK,2024Q4,1.48
MRK,2024Q3,1.24
KO,2025Q4,
KO,2025Q3,
KO,2025Q2,0.88
KO,2025Q1,0.77
KO,2024Q4,0.51
KO,2024Q3,0.66
PEP,2025Q4,
PEP,2025Q3,
PEP,2025Q2,0.92
PEP,2025Q1,1.33
PEP,2024Q4,1.11
PEP,2024Q3,2.13
CVX,2025Q4,
CVX,2025Q3,
CVX,2025Q2,1.45
CVX,2025Q1,2.0
CVX,2024Q4,1.84
CVX,2024Q3,2.48
ABBV,2025Q4,
ABBV,2025Q3,
ABBV,2025Q2,0.52
ABBV,2025Q1,0.72
ABBV,2024Q4,-0.02
ABBV,2024Q3,0.88
WMT,2025Q4,
WMT,2025Q3,0.88
WMT,2025Q2,0.56
WMT,2025Q1,0.65
WMT,2024Q4,0.57
WMT,2024Q3,0.56
MCD,2025Q4,
MCD,2025Q3,
MCD,2025Q2,3.14
MCD,2025Q1,2.6
MCD,2024Q4,2.8
MCD,2024Q3,3.13
ADBE,2025Q4,
ADBE,2025Q3,4.18
ADBE,2025Q2,3.94
ADBE,2025Q1,4.14
ADBE,2024Q4,3.79
ADBE,2024Q3,3.76
CRM,2025Q4,
CRM,2025Q3,1.96
CRM,2025Q2,1.59
CRM,2025Q1,1.75
CRM,2024Q4,1.58
CRM,2024Q3,1.47
NFLX,2025Q4,
NFLX,2025Q3,
NFLX,2025Q2,7.19
NFLX,2025Q1,6.61
NFLX,2024Q4,4.27
NFLX,2024Q3,5.4
ACN,2025Q4,
ACN,2025Q3,2.25
ACN,2025Q2,3.49
ACN,2025Q1,2.82
ACN,2024Q4,3.59
ACN,2024Q3,2.66
AMD,2025Q4,
AMD,2025Q3,
AMD,2025Q2,0.54
AMD,2025Q1,0.44
AMD,2024Q4,0.29
AMD,2024Q3,0.47
DHR,2025Q4,
DHR,2025Q3,
DHR,2025Q2,0.77
DHR,2025Q1,1.32
DHR,2024Q4,1.49
DHR,2024Q3,1.12
TMO,2025Q4,
TMO,2025Q3,
TMO,2025Q2,4.28
TMO,2025Q1,3.98
TMO,2024Q4,4.78
TMO,2024Q3,4.25
TXN,2025Q4,
TXN,2025Q3,
TXN,2025Q2,1.41
TXN,2025Q1,1.28
TXN,2024Q4,1.3
TXN,2024Q3,1.47
PFE,2025Q4,
PFE,2025Q3,
PFE,2025Q2,0.51
PFE,2025Q1,0.52
PFE,2024Q4,0.07
PFE,2024Q3,0.78
NKE,2025Q4,
NKE,2025Q3,0.49
NKE,2025Q2,0.14
NKE,2025Q1,0.54
NKE,2024Q4,0.78
NKE,2024Q3,0.7
LIN,2025Q4,
LIN,2025Q3,
LIN,2025Q2,3.73
LIN,2025Q1,3.51
LIN,2024Q4,
LIN,2024Q3,3.22
AMAT,2025Q4,
AMAT,2025Q3,2.22
AMAT,2025Q2,2.63
AMAT,2025Q1,1.45
AMAT,2024Q4,2.09
AMAT,2024Q3,2.05
IBM,2025Q4,
IBM,2025Q3,
IBM,2025Q2,2.31
IBM,2025Q1,1.12
IBM,2024Q4,3.09
IBM,2024Q3,-0.36
HON,2025Q4,
HON,2025Q3,
HON,2025Q2,2.45
HON,2025Q1,2.22
HON,2024Q4,1.96
HON,2024Q3,2.16
CAT,2025Q4,
CAT,2025Q3,
CAT,2025Q2,4.62
CAT,2025Q1,4.2
CAT,2024Q4,5.78
CAT,2024Q3,5.06
LMT,2025Q4,
LMT,2025Q3,
LMT,2025Q2,1.46
LMT,2025Q1,7.28
LMT,2024Q4,2.22
LMT,2024Q3,6.8
INTU,2025Q4,
INTU,2025Q3,1.35
INTU,2025Q2,10.02
INTU,2025Q1,1.67
INTU,2024Q4,0.7
INTU,2024Q3,-0.07
GE,2025Q4,
GE,2025Q3,
GE,2025Q2,1.89
GE,2025Q1,1.83
GE,2024Q4,1.75
GE,2024Q3,1.7
QCOM,2025Q4,
QCOM,2025Q3,
QCOM,2025Q2,2.43
QCOM,2025Q1,2.52
QCOM,2024Q4,2.83
QCOM,2024Q3,2.59
RTX,2025Q4,
RTX,2025Q3,
RTX,2025Q2,1.22
RTX,2025Q1,1.14
RTX,2024Q4,1.1
RTX,2024Q3,1.09
COP,2025Q4,
COP,2025Q3,
COP,2025Q2,1.56
COP,2025Q1,2.23
COP,2024Q4,1.9
COP,2024Q3,1.76
BMY,2025Q4,
BMY,2025Q3,
BMY,2025Q2,0.64
BMY,2025Q1,1.2
BMY,2024Q4,0.04
BMY,2024Q3,0.6
PM,2025Q4,
PM,2025Q3,
PM,2025Q2,1.95
PM,2025Q1,1.72
