symbol,period_1,period_2,period_3,period_4,period_5,period_6,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6
2S,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.26,0.0,0.14,0.12,-0.13,
88TH,2026Q1,2025Q1,,,,,0.1,0.19,,,,
A,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.3,-0.36,-0.21,-0.21,-0.13,
A5,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,0.01,0.06,0.03,0.15,
AAI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.08,0.09,0.12,0.14,
AAV,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.07,-0.07,0.02,0.11,0.27,
ABM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.02,-0.03,-0.04,-0.02,-0.08,
ACAP,2025Q3,2025Q2,2025Q1,2024Q3,,,0.28,-0.08,-0.07,0.35,,
ACC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,-0.01,-0.01,-0.01,-0.01,
ACE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.02,0.01,0.02,0.01,
ACG,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.01,0.01,0.02,0.01,
ADB,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.01,0.01,0.02,0.01,
ADD,2025Q3,2025Q2,2025Q1,2024Q3,,,0.1,0.05,0.05,0.06,,
ADVANC,2026Q1,2025Q2,2025Q1,2024Q3,,,4.54,3.69,3.56,2.95,,
ADVICE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.19,0.11,0.12,0.1,0.11,
AE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,-0.01,-0.01,-0.02,-0.02,
AEONTS,2025Q4,2025Q2,2024Q4,2024Q3,,,2.49,3.09,3.15,3.29,,
AF,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,-0.0,0.0,0.0,0.0,
AFC,2026Q1,2025Q4,2025Q3,2025Q1,2024Q4,,0.31,-0.0,0.04,-0.09,-0.3,
AGE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.09,0.08,0.09,0.04,-0.01,
AH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.94,0.63,0.32,0.91,0.59,
