symbol,date,period,eps,src
2S,2025-06-30,2025Q2,0.137,yahoo_income
2S,2025-03-31,2025Q1,0.118,yahoo_income
2S,2024-09-30,2024Q3,-0.129,yahoo_income
2S,2024-06-30,2024Q2,0.065,yahoo_income
2S,2024-03-31,2024Q1,0.089,yahoo_income
A,2025-06-30,2025Q2,-0.2093,yahoo_income
A,2025-03-31,2025Q1,-0.2072,yahoo_income
A,2024-09-30,2024Q3,-0.1271,yahoo_income
A,2024-06-30,2024Q2,-0.0267,yahoo_income
A,2024-03-31,2024Q1,-0.0757,yahoo_income
A5,2025-06-30,2025Q2,0.06,yahoo_income
A5,2025-03-31,2025Q1,0.03,yahoo_income
A5,2024-09-30,2024Q3,0.1487,yahoo_income
A5,2024-06-30,2024Q2,0.14,yahoo_income
A5,2024-03-31,2024Q1,0.12,yahoo_income
AAI,2025-06-30,2025Q2,0.09,yahoo_income
AAI,2025-03-31,2025Q1,0.12,yahoo_income
AAI,2024-09-30,2024Q3,0.14,yahoo_income
AAI,2024-06-30,2024Q2,0.14,yahoo_income
AAI,2024-03-31,2024Q1,0.11,yahoo_income
AAV,2025-06-30,2025Q2,0.0167,yahoo_income
AAV,2025-03-31,2025Q1,0.108,yahoo_income
AAV,2024-09-30,2024Q3,0.2682,yahoo_income
AAV,2024-06-30,2024Q2,0.0065,yahoo_income
AAV,2024-03-31,2024Q1,-0.0318,yahoo_income
ABM,2025-06-30,2025Q2,-0.04,yahoo_income
ABM,2025-03-31,2025Q1,-0.02,yahoo_income
ABM,2024-09-30,2024Q3,-0.08,yahoo_income
ABM,2024-06-30,2024Q2,0.01,yahoo_income
ABM,2024-03-31,2024Q1,-0.02,yahoo_income
ACAP,2025-06-30,2025Q2,-0.076,yahoo_income
ACAP,2025-03-31,2025Q1,-0.073,yahoo_income
ACAP,2024-09-30,2024Q3,0.117,yahoo_income
ACAP,2024-06-30,2024Q2,0.13,yahoo_income
ACAP,2024-03-31,2024Q1,-0.165,yahoo_income
ACC,2025-06-30,2025Q2,-0.01,yahoo_income
ACC,2025-03-31,2025Q1,-0.01,yahoo_income
