symbol,date,period,eps,src
AAPL,2025-09-30,2025Q3,1.85,yahoo_income
AAPL,2025-06-30,2025Q2,1.57,yahoo_income
AAPL,2025-03-31,2025Q1,1.65,yahoo_income
AAPL,2024-12-31,2024Q4,2.4,yahoo_income
AAPL,2024-09-30,2024Q3,0.97,yahoo_income
ABBV,2025-09-30,2025Q3,0.1,yahoo_income
ABBV,2025-06-30,2025Q2,0.52,yahoo_income
ABBV,2025-03-31,2025Q1,0.72,yahoo_income
ABBV,2024-12-31,2024Q4,-0.02,yahoo_income
ABBV,2024-09-30,2024Q3,0.88,yahoo_income
ACN,2025-08-31,2025Q3,2.25,yahoo_income
ACN,2025-05-31,2025Q2,3.49,yahoo_income
ACN,2025-02-28,2025Q1,2.82,yahoo_income
ACN,2024-11-30,2024Q4,3.59,yahoo_income
ACN,2024-08-31,2024Q3,2.66,yahoo_income
ADBE,2025-08-31,2025Q3,4.18,yahoo_income
ADBE,2025-05-31,2025Q2,3.94,yahoo_income
ADBE,2025-02-28,2025Q1,4.14,yahoo_income
ADBE,2024-11-30,2024Q4,3.79,yahoo_income
ADBE,2024-08-31,2024Q3,3.76,yahoo_income
ADI,2025-07-31,2025Q3,1.04,yahoo_income
ADI,2025-04-30,2025Q2,1.14,yahoo_income
ADI,2025-01-31,2025Q1,0.78,yahoo_income
ADI,2024-10-31,2024Q4,0.96,yahoo_income
ADI,2024-07-31,2024Q3,0.79,yahoo_income
ADP,2025-09-30,2025Q3,2.49,yahoo_income
ADP,2025-06-30,2025Q2,2.23,yahoo_income
ADP,2025-03-31,2025Q1,3.06,yahoo_income
ADP,2024-12-31,2024Q4,2.35,yahoo_income
ADP,2024-09-30,2024Q3,2.34,yahoo_income
AEM,2025-09-30,2025Q3,2.1,yahoo_income
AEM,2025-06-30,2025Q2,2.12,yahoo_income
AEM,2025-03-31,2025Q1,1.62,yahoo_income
AEM,2024-12-31,2024Q4,1.01,yahoo_income
AEM,2024-09-30,2024Q3,1.13,yahoo_income
AMAT,2025-07-31,2025Q3,2.22,yahoo_income
AMAT,2025-04-30,2025Q2,2.63,yahoo_income
AMAT,2025-01-31,2025Q1,1.45,yahoo_income
AMAT,2024-10-31,2024Q4,2.09,yahoo_income
AMAT,2024-07-31,2024Q3,2.05,yahoo_income
AMD,2025-09-30,2025Q3,0.75,yahoo_income
AMD,2025-06-30,2025Q2,0.54,yahoo_income
AMD,2025-03-31,2025Q1,0.44,yahoo_income
AMD,2024-12-31,2024Q4,0.29,yahoo_income
AMD,2024-09-30,2024Q3,0.47,yahoo_income
AMGN,2025-09-30,2025Q3,5.93,yahoo_income
AMGN,2025-06-30,2025Q2,2.65,yahoo_income
AMGN,2025-03-31,2025Q1,3.2,yahoo_income
AMGN,2024-12-31,2024Q4,1.16,yahoo_income
AMGN,2024-09-30,2024Q3,5.22,yahoo_income
AMZN,2025-09-30,2025Q3,1.95,yahoo_income
AMZN,2025-06-30,2025Q2,1.68,yahoo_income
AMZN,2025-03-31,2025Q1,1.59,yahoo_income
AMZN,2024-12-31,2024Q4,1.86,yahoo_income
AMZN,2024-09-30,2024Q3,1.43,yahoo_income
AON,2025-09-30,2025Q3,2.11,yahoo_income
AON,2025-06-30,2025Q2,2.66,yahoo_income
AON,2025-03-31,2025Q1,4.43,yahoo_income
AON,2024-12-31,2024Q4,3.28,yahoo_income
AON,2024-09-30,2024Q3,1.57,yahoo_income
AU,2025-09-30,2025Q3,1.31,yahoo_income
AU,2025-06-30,2025Q2,1.32,yahoo_income
AU,2025-03-31,2025Q1,0.88,yahoo_income
AU,2024-12-31,2024Q4,1.03,yahoo_income
AU,2024-09-30,2024Q3,0.53,yahoo_income
AVGO,2025-07-31,2025Q3,0.85,yahoo_income
AVGO,2025-04-30,2025Q2,1.03,yahoo_income
AVGO,2025-01-31,2025Q1,1.14,yahoo_income
AVGO,2024-10-31,2024Q4,0.9,yahoo_income
AVGO,2024-07-31,2024Q3,-0.4,yahoo_income
BA,2025-09-30,2025Q3,-7.14,yahoo_income
BA,2025-06-30,2025Q2,-0.92,yahoo_income
BA,2025-03-31,2025Q1,-0.16,yahoo_income
BA,2024-12-31,2024Q4,-5.46,yahoo_income
BA,2024-09-30,2024Q3,-9.97,yahoo_income
BK,2025-09-30,2025Q3,1.88,yahoo_income
BK,2025-06-30,2025Q2,1.93,yahoo_income
BK,2025-03-31,2025Q1,1.58,yahoo_income
BK,2024-12-31,2024Q4,1.54,yahoo_income
BK,2024-09-30,2024Q3,1.5,yahoo_income
BKNG,2025-09-30,2025Q3,84.41,yahoo_income
BKNG,2025-06-30,2025Q2,27.43,yahoo_income
BKNG,2025-03-31,2025Q1,10.07,yahoo_income
BKNG,2024-12-31,2024Q4,31.95,yahoo_income
BKNG,2024-09-30,2024Q3,74.34,yahoo_income
BLK,2025-09-30,2025Q3,8.43,yahoo_income
BLK,2025-06-30,2025Q2,10.19,yahoo_income
BLK,2025-03-31,2025Q1,9.64,yahoo_income
BLK,2024-12-31,2024Q4,10.63,yahoo_income
BLK,2024-09-30,2024Q3,10.9,yahoo_income
BMY,2025-09-30,2025Q3,1.08,yahoo_income
BMY,2025-06-30,2025Q2,0.64,yahoo_income
BMY,2025-03-31,2025Q1,1.2,yahoo_income
BMY,2024-12-31,2024Q4,0.04,yahoo_income
BMY,2024-09-30,2024Q3,0.6,yahoo_income
BRK-B,2025-06-30,2025Q2,5.734003,yahoo_income
BRK-B,2025-03-31,2025Q1,2.133334,yahoo_income
BRK-B,2024-09-30,2024Q3,12.181339,yahoo_income
BRK-B,2024-06-30,2024Q2,14.08134,yahoo_income
BRK-B,2024-03-31,2024Q1,5.883336,yahoo_income
BTG,2025-09-30,2025Q3,0.01,yahoo_income
BTG,2025-06-30,2025Q2,0.1,yahoo_income
BTG,2025-03-31,2025Q1,0.04,yahoo_income
BTG,2024-12-31,2024Q4,-0.01,yahoo_income
BTG,2024-09-30,2024Q3,-0.48,yahoo_income
C,2025-09-30,2025Q3,1.86,yahoo_income
C,2025-06-30,2025Q2,1.96,yahoo_income
C,2025-03-31,2025Q1,1.96,yahoo_income
C,2024-12-31,2024Q4,1.34,yahoo_income
C,2024-09-30,2024Q3,1.51,yahoo_income
CAT,2025-09-30,2025Q3,4.88,yahoo_income
CAT,2025-06-30,2025Q2,4.62,yahoo_income
CAT,2025-03-31,2025Q1,4.2,yahoo_income
CAT,2024-12-31,2024Q4,5.78,yahoo_income
CAT,2024-09-30,2024Q3,5.06,yahoo_income
