symbol,period,eps
2S,2026Q1,0.26
2S,2025Q3,0.0
2S,2025Q2,0.137
2S,2025Q1,0.12
88TH,2026Q1,0.1
88TH,2025Q1,0.19
A,2026Q1,-0.2998
A,2025Q3,-0.3555
A,2025Q2,-0.2093
A,2025Q1,-0.2072
A5,2026Q1,-0.01
A5,2025Q3,0.01
A5,2025Q2,0.06
A5,2025Q1,0.03
AAI,2026Q1,0.06
AAI,2025Q3,0.08
AAI,2025Q2,0.09
AAI,2025Q1,0.12
AAV,2026Q1,0.0654
AAV,2025Q3,-0.0681
AAV,2025Q2,0.0167
AAV,2025Q1,0.108
ABM,2026Q1,-0.02
ABM,2025Q3,-0.03
ABM,2025Q2,-0.04
ABM,2025Q1,-0.02
ACC,2026Q1,-0.01
ACC,2025Q3,-0.01
ACC,2025Q2,-0.01
ACC,2025Q1,-0.011
ACE,2026Q1,0.03
ACE,2025Q3,0.02
ACE,2025Q2,0.01
ACE,2025Q1,0.02
ACG,2026Q1,0.0167
ACG,2025Q3,0.0129
ACG,2025Q2,0.01
ACG,2025Q1,0.0178
ADB,2026Q1,0.024
ADB,2025Q3,0.012
ADB,2025Q2,0.006
ADB,2025Q1,0.015
ADD,2026Q1,0.03
ADD,2025Q3,0.099
ADD,2025Q2,0.046
ADD,2025Q1,0.05
ADVANC,2026Q1,4.54
ADVANC,2025Q2,3.69
ADVANC,2025Q1,3.56
ADVICE,2026Q1,0.187
ADVICE,2025Q3,0.106
ADVICE,2025Q2,0.121
ADVICE,2025Q1,0.102
AE,2026Q1,-0.0066
AE,2025Q3,-0.011
AE,2025Q2,-0.0134
AE,2025Q1,-0.0224
AEONTS,2026Q2,3.2
AEONTS,2025Q4,2.49
AEONTS,2025Q2,3.09
AEONTS,2024Q4,3.15
AF,2026Q1,0.0033
AF,2025Q3,-0.0013
AF,2025Q2,0.0034
AF,2025Q1,0.0025
AFC,2026Q1,0.31
AFC,2025Q4,-0.002
AFC,2025Q3,0.04
AFC,2025Q1,-0.09
AFC,2024Q4,-0.3
AGE,2026Q1,0.086
AGE,2025Q3,0.079
AGE,2025Q2,0.089
AGE,2025Q1,0.036
AH,2026Q1,0.94
AH,2025Q3,0.63
AH,2025Q2,0.32
AH,2025Q1,0.91
AHC,2026Q1,0.13
AHC,2025Q3,0.21
AHC,2025Q2,0.33
AHC,2025Q1,0.31
AI,2026Q1,0.044
AI,2025Q3,0.053
AI,2025Q2,-0.024
AI,2025Q1,0.076
AIE,2026Q1,0.038
AIE,2025Q3,0.037
AIE,2025Q2,-0.03
AIE,2025Q1,0.008
AIMCG,2026Q1,0.005193
AIMCG,2025Q3,-0.01583
AIMCG,2025Q2,-0.031017
AIMCG,2025Q1,-0.018304
AIMIRT,2026Q1,0.228004
AIMIRT,2025Q3,0.193104
AIMIRT,2025Q2,0.218965
AIMIRT,2025Q1,0.204731
AIRA,2026Q1,0.001756
AIRA,2025Q3,-0.0078
AIRA,2025Q2,-0.0058
AIRA,2025Q1,-0.005411
AIT,2026Q1,0.093674
AIT,2025Q3,0.1
AIT,2025Q2,0.09
AIT,2025Q1,0.093219
AJ,2026Q1,-0.167
AJ,2025Q3,-0.28
AJ,2025Q2,-0.32
AJ,2025Q1,-0.028
AJA,2026Q1,-0.004
AJA,2025Q3,-0.005
AJA,2025Q2,-0.004
AJA,2025Q1,-0.007
AKP,2026Q1,0.021
AKP,2025Q3,0.096
AKP,2025Q2,0.021
AKP,2025Q1,0.008
AKR,2026Q1,0.005
AKR,2025Q3,0.002
AKR,2025Q2,0.013
AKR,2025Q1,0.062
AKS,2025Q3,-0.0313
AKS,2025Q2,-0.0358
AKS,2025Q1,-0.0092
ALLA,2026Q1,0.015
ALLA,2025Q3,0.042
ALLA,2025Q2,0.022
ALLA,2025Q1,0.047
ALLY,2026Q1,0.260188
ALLY,2025Q3,0.13265
ALLY,2025Q2,0.166093
ALLY,2025Q1,0.232688
ALPHAX,2026Q1,-0.003362
ALPHAX,2025Q3,0.0122
ALPHAX,2025Q2,0.0115
ALPHAX,2025Q1,0.002505
ALT,2026Q1,0.008
ALT,2025Q3,0.004
ALT,2025Q2,0.075
ALT,2025Q1,0.008
ALUCON,2026Q1,7.78
ALUCON,2025Q3,4.78
ALUCON,2025Q2,8.23
ALUCON,2025Q1,6.37
AMA,2026Q1,0.07
AMA,2025Q3,0.08
AMA,2025Q2,0.12
AMA,2025Q1,0.13
AMANAH,2026Q1,-0.026
AMANAH,2025Q3,-0.041
AMANAH,2025Q2,-0.039
AMANAH,2025Q1,0.002
AMARC,2026Q1,0.054
AMARC,2025Q3,0.1
AMARC,2025Q2,0.184
AMARC,2025Q1,0.056
AMARIN,2026Q1,-0.01
AMARIN,2025Q3,-0.017
AMARIN,2025Q2,-0.04
AMARIN,2025Q1,-0.04
AMATA,2026Q1,1.2
AMATA,2025Q3,0.99
AMATA,2025Q2,0.12
AMATA,2025Q1,0.72
AMATAR,2026Q1,0.22444
AMATAR,2025Q3,0.215904
AMATAR,2025Q2,0.224818
AMATAR,2025Q1,0.204462
AMATAV,2026Q1,-0.003
AMATAV,2025Q3,0.02
AMATAV,2025Q2,0.07
AMATAV,2025Q1,0.005
AMC,2026Q1,0.06
AMC,2025Q3,-0.01
AMC,2025Q2,0.02
AMC,2025Q1,0.06
AMR,2026Q1,-0.09
AMR,2025Q3,-0.06
AMR,2025Q2,-0.081
AMR,2025Q1,-0.058
ANAN,2026Q1,-0.034
ANAN,2025Q3,0.014
ANAN,2025Q2,0.044
ANAN,2025Q1,-0.065
ANI,2026Q1,0.0614
ANI,2025Q3,0.0791
ANI,2025Q2,0.0736
ANI,2025Q1,0.0747
AOT,2026Q1,0.4
AOT,2025Q4,0.33
AOT,2025Q2,0.27
AOT,2025Q1,0.35
AOT,2024Q4,0.37
AP,2026Q1,0.29
AP,2025Q3,0.367
AP,2025Q2,0.32
AP,2025Q1,0.27
APCO,2026Q1,0.03
APCO,2025Q3,0.02
APCO,2025Q2,0.02
APCO,2025Q1,0.02
APCS,2026Q1,-0.13
APCS,2025Q3,-0.11
APCS,2025Q2,-0.0834
APCS,2025Q1,-0.08
APO,2026Q1,-0.0464
APO,2025Q3,0.1533
APO,2025Q2,0.4136
APO,2025Q1,-0.0354
APP,2026Q1,0.09
APP,2025Q3,0.11
APP,2025Q2,0.07
APP,2025Q1,0.13
APURE,2026Q1,0.0124
APURE,2025Q3,-0.2836
APURE,2025Q2,-0.04
APURE,2025Q1,0.0633
AQUA,2026Q1,0.008
AQUA,2025Q3,-0.0258
AQUA,2025Q2,-0.0585
AQUA,2025Q1,-0.016
ARIN,2026Q1,-0.02
ARIN,2025Q3,-0.01
ARIN,2025Q2,-0.02
ARIN,2025Q1,-0.02
ARIP,2026Q1,0.004208
ARIP,2025Q3,0.008
ARIP,2025Q2,0.006
ARIP,2025Q1,0.004
ARROW,2026Q1,0.17
ARROW,2025Q3,0.16
ARROW,2025Q2,0.13
ARROW,2025Q1,0.15
AS,2026Q1,0.06
AS,2025Q3,0.11
AS,2025Q2,0.04
AS,2025Q1,0.08
