symbol,period,eps
A,2025Q4,1.53
A,2025Q3,1.18
A,2025Q2,0.75
A,2025Q1,1.11
A,2024Q4,1.22
AA,2025Q4,0.85
AA,2025Q3,0.88
AA,2025Q2,0.62
AA,2025Q1,2.07
AA,2024Q4,0.76
AAMI,2025Q3,0.42
AAMI,2025Q2,0.28
AAMI,2025Q1,0.54
AAMI,2024Q4,1.13
AAMI,2024Q3,0.45
AAPL,2025Q3,1.85
AAPL,2025Q2,1.57
AAPL,2025Q1,1.65
AAPL,2024Q4,2.4
AAPL,2024Q3,0.97
AARD,2025Q3,-0.75
AARD,2025Q2,-0.66
AARD,2025Q1,-0.71
AARD,2024Q3,-0.195563
AARD,2024Q2,-0.254812
AAT,2025Q3,0.07
AAT,2025Q2,0.09
AAT,2025Q1,0.7
AAT,2024Q4,0.15
AAT,2024Q3,0.28
ABAT,2025Q3,-0.09
ABAT,2025Q1,-0.14
ABAT,2024Q4,-0.18
ABAT,2024Q3,-0.17
ABBV,2025Q3,0.1
ABBV,2025Q2,0.52
ABBV,2025Q1,0.72
ABBV,2024Q4,-0.02
ABBV,2024Q3,0.88
ABCB,2025Q3,1.54
ABCB,2025Q2,1.6
ABCB,2025Q1,1.27
ABCB,2024Q4,1.37
ABCB,2024Q3,1.44
ABM,2025Q4,0.56
ABM,2025Q3,0.67
ABM,2025Q2,0.67
ABM,2025Q1,0.69
ABM,2024Q4,-0.19
ABNB,2025Q3,2.21
ABNB,2025Q2,1.03
ABNB,2025Q1,0.24
ABNB,2024Q4,0.73
ABNB,2024Q3,2.13
ABOS,2025Q3,-0.44
ABOS,2025Q2,-0.68
ABOS,2025Q1,-0.48
ABOS,2024Q3,-0.5
ABOS,2024Q2,-0.34
ABT,2025Q4,1.01
ABT,2025Q3,0.94
ABT,2025Q2,1.01
ABT,2025Q1,0.76
ABT,2024Q4,5.27
ACET,2025Q3,-4.64
ACET,2025Q2,-5.44
ACET,2025Q1,-4.96
ACET,2024Q4,-5.12
ACET,2024Q3,-5.44
ACGL,2025Q3,3.56
ACGL,2025Q2,3.23
ACGL,2025Q1,1.48
ACGL,2024Q4,2.42
ACGL,2024Q3,2.56
ACHC,2025Q3,0.4
ACHC,2025Q2,0.33
ACHC,2025Q1,0.09
ACHC,2024Q4,0.35
ACHC,2024Q3,0.74
ACHR,2025Q3,-0.2
ACHR,2025Q2,-0.36
ACHR,2025Q1,-0.17
ACHR,2024Q3,-0.29
ACHR,2024Q2,-0.32
ACI,2025Q4,0.55
ACI,2025Q3,0.3
ACI,2025Q2,0.41
ACI,2025Q1,0.29
ACI,2024Q4,0.69
ACIU,2025Q3,-0.16
ACIU,2025Q2,-0.21
ACIU,2025Q1,-0.19
ACIU,2024Q3,0.05
ACIU,2024Q2,-0.23
ACMR,2025Q3,0.52
ACMR,2025Q2,0.44
